	Cluster_41 Ahr::Arnt,EOMES,MGA,TBR1(...)	Cluster_40 Arnt,ARNT2,Arntl(...),ARNT::HIF1A,HES1,HES2(...),Creb3l2,CREB3L4	Cluster_47 BHLHE22(var.2),SNAI1,Tcf12(...),ASCL1,Ascl2,BHLHA15(var.2)(...),GRHL2,SCRT1,SCRT2	Cluster_37 CEBPA,CEBPB,CEBPD(...),CREB1	Cluster_67 CTCFL,Plagl1,PLAGL2,CTCF	MPP3_MA1480.1 DPRX	MPP3_Cluster_35 E2F1,E2F2,E2F4(...)	Cluster_61 E2F6,KLF15,TFDP1,MAZ,ZNF148,ZNF263	Cluster_69 EBF1,Ebf2,EBF3,TFAP2A,TFAP2A(var.2),TFAP2B(...)	Cluster_60 EGR1,EGR2,EGR3(...),Wt1,Znf281,ZNF740	Cluster_26 ELF2,ELK1,ELK3(...),EHF,ELF1,ELF3(...),SPI1,SPIB,ZKSCAN5(...)	Cluster_15 FOXG1,FOXI1,FOXL1(...),FOXA1,FOXA2,FOXA3(...),FOXP3	MPP3_Cluster_4 GATA1,GATA1::TAL1,GATA2(...)	MPP3_Cluster_31 GLIS2,ZIC3,ZIC4	Cluster_56 HIC2,THAP1,Hic1,NFIA,NFIC	Cluster_64 HINFP,ZBTB14,NRF1	Cluster_59 Klf1,Klf12,KLF2(...),KLF10,KLF11,KLF13(...),ZNF682	Cluster_5 MSANTD3,ISL2,MSANTD3,NKX2-2(...)	MPP3_Cluster_18 MYB,OVOL2	Cluster_4 NFYA,NFYB,NFYC,GFI1,Gfi1b	Cluster_36 NR2C1,NR2C2(var.2),NR1I3,VDR,Nr2e1,NR4A1(...)	MPP3_Cluster_16 PAX1,PAX5,PAX9	Cluster_38 Pax2,Pax2	MPP3_MA0163.1 PLAG1	Cluster_12 POU3F4,POU5F1B,POU2F1,POU3F1,POU3F3(...)	Cluster_54 RBPJ,NFAT5,NFATC1,NFATC2(...)	MPP3_Cluster_22 REL,RELA	MPP3_MA1563.1 SOX18	MPP3_Cluster_24 TFAP2A(var.3),TFAP2B(var.3),TFAP2C(var.3)	MPP3_MA1573.1 THAP11	MPP3_Cluster_13 YY1,YY2,ZFP42	MPP3_MA0527.1 ZBTB33	MPP3_MA1583.1 ZFP57	MPP3_Cluster_38 Zfx,ZNF460	Cluster_17 ALX3,ARGFX,Dlx2(...),BARHL2,Dlx1,ESX1(...),BARX1,EMX1,EMX2(...)(...)	Cluster_9 Arid3a,Arid3b,TBP,MEF2A,MEF2B,MEF2C(...),ZNF384	MPP4_MA0602.1 Arid5a	Cluster_48 Atoh1,ATOH1(var.2),Bhlha15(...),ATOH7,BHLHE22,BHLHE23(...)	MPP4_Cluster_36 BACH1,BATF,BATF::JUN(...)	MPP4_Cluster_27 BARX2,HNF1A	Cluster_55 BCL6,STAT1,STAT3(...),Stat6	Cluster_19 CDX1,CDX2,CDX4(...),Hoxa11,HOXA9,HOXB9(...)	MPP4_Cluster_7 Dmrt1,DMRT3,DMRTA2(...)	Cluster_1 DUX4,PHOX2A,PHOX2B(...),Lhx3	MPP4_MA0041.1 Foxd3	Cluster_50 Hand1::Tcf3,Smad4,HSF2,HSF4,ZBTB12	MPP4_MA0109.1 HLTF	MPP4_Cluster_66 HMBOX1,ZNF652	MPP4_Cluster_68 IRF1,IRF2,IRF3(...)	MPP4_MA0619.1 LIN54	Cluster_45 MAF,Mafb,MAFF,MAFG(...)	Cluster_30 MEIS1,MEIS2,MEIS3(...),SMAD2::SMAD3::SMAD4	Cluster_20 MEIS1(var.2),MEIS2(var.2),PBX1(...),ONECUT1,ONECUT2,ONECUT3	Cluster_21 MYB,ZKSCAN1,OSR1,OSR2	MPP4_MA0164.1 Nr2e3	MPP4_Cluster_46 PKNOX2,TGIF2,TGIF2LX(...)	MPP4_Cluster_29 POU4F1,POU4F3	MPP4_MA0508.3 PRDM1	MPP4_MA1647.1 PRDM4	MPP4_Cluster_64 RFX1,RFX2,RFX3(...)	MPP4_MA1554.1 RFX7	MPP4_Cluster_8 Rhox11,ZBTB32	MPP4_MA0073.1 RREB1	Cluster_43 RUNX1,RUNX2,RUNX3,ZNF354C	MPP4_Cluster_4 SIX1,SIX2	Cluster_23 SOX10,SOX13,SOX15(...),SOX12,Sox5,SOX9(...)	MPP4_MA0111.1 Spz1	MPP4_Cluster_9 TCF7,TCF7L1,TCF7L2	MPP4_Cluster_44 TEAD1,TEAD2,TEAD3(...)	MPP4_MA1589.1 ZNF140	MPP4_MA1124.1 ZNF24
Cluster_41 Ahr::Arnt,EOMES,MGA,TBR1(...)	0.0	0.6827767541920615	5.014833424253117	0.8854821558863777	-1.804110361636606	1.0538581413220094	-0.8876772932253129	1.5629645446301894	-0.4443934085579345	0.645116327577896	3.165326745939668	0.25290239275503806	1.6267636976227855	2.147855049398775	2.7720503657492648	-0.64116412579518	1.298425869261397	0.877334567101213	0.7871153482621229	-0.37551889209571887	0.6306828477979628	0.37470774443326915	0.1882653666865994	0.7365728043012537	0.34981030466919033	0.9720323311895571	0.7827863213928945	2.079054963154375	-1.2837810927925275	0.8557596511957363	-0.3593660624205872	-0.01643837528221093	-0.0925702718458207	-0.12953698968572774	-0.9085168737743399	2.6158355767439767	0.6419478258629499	2.0678351399054593	0.6024154655449269	-0.1790770389267327	1.1513871569842087	-0.14103241993566293	0.531812687033753	0.6275549791685852	1.4424816781982879	0.24894119057775277	0.816370905502669	2.39324726315245	2.961176531453042	0.14187066320099492	2.913440842232665	3.667890458151427	1.32585232983095	1.8090741702769606	2.0310255027202273	4.693169411308957	-0.5007339319868673	2.338172149156317	4.138292120879056	2.0654578397014145	1.3099855270742964	1.3395777426463353	1.6773092229349205	5.282544748476862	2.2503978952986183	1.745589135549209	1.5566851949803968	1.3581601305590338	1.2596034898139463	3.770522200020042	2.1925630605469557
Cluster_40 Arnt,ARNT2,Arntl(...),ARNT::HIF1A,HES1,HES2(...),Creb3l2,CREB3L4	0.6827767541920615	0.0	-0.43252202283493263	0.26749477357332246	-9.161859799136197	-0.3636078611975711	-1.8617010653508639	-7.05643507268643	-6.225624432291569	-6.93642633095746	-3.7209100493011196	-0.607379969718378	-0.4146849106906333	-6.748478579570702	0.5178553772270784	-8.81105480374665	-8.49393558716205	0.10903262623174498	0.39080208994003907	-1.6915750412812476	-0.13889242424527345	-2.888311803223939	-4.234217382572738	-3.8204523677782753	-0.07718786005034242	0.06215597595174706	-1.7906766194753252	-1.5545571733987633	-5.208913999524609	-2.4935055474970365	-3.9870552469257237	-6.082477188954339	-3.68405049489896	-9.691874847207908	0.27691290159416654	0.6141762727283768	-0.227168048010818	1.0702613970470596	0.9657329011280577	-0.19458636401987267	-0.052011935870009546	-0.09866196818340167	-0.28604610675961606	-0.10934352625008448	0.584185122199009	-0.2681238638468772	-0.9733947683037294	0.24712768439953509	1.103950930218216	-0.37408986781365017	1.6014794390579505	-2.350849191849527	-0.4583265262176295	-0.8772614800459881	-1.6076893441231046	-0.2103204948136221	-0.09135043725286263	-0.7794559435123317	-0.2693271402388307	-2.20776950720631	-1.9471778098505002	0.11966753114673565	1.1508844265297322	3.1515551852190966	-0.8535702296878672	-0.24940800939876653	-1.552259250926366	1.7686301172861147	0.007904561720711535	-2.045901759325183	-0.5742903178873847
Cluster_47 BHLHE22(var.2),SNAI1,Tcf12(...),ASCL1,Ascl2,BHLHA15(var.2)(...),GRHL2,SCRT1,SCRT2	5.014833424253117	-0.43252202283493263	0.0	1.5941558922227308	-4.498649415582094	2.284850333339106	-1.2301324637617221	2.3760009932709685	1.8217672095085329	0.2071755927412469	13.035314049990872	1.4260059484230363	1.809895067528462	0.6452248064397395	4.6397242037388	-6.440448884981949	0.8505985559040066	1.4589072876209366	1.902096457549948	3.9657353620027944	2.455177155327466	0.2482444409137419	1.6352216309816967	1.7900373299307462	1.8507943302915917	1.7549565439892936	2.948566903760262	1.6182476203076601	1.7184316897421061	2.553155340154185	0.0632769082774614	-3.3097540627462956	1.3175602472245702	-1.3280877712116599	0.6449190238247112	5.12732549725324	0.8928226441525949	9.443852461829144	4.470941107656226	1.4733469345553634	3.364521532475814	3.532060581562297	4.268274674001606	1.8187305701659207	1.7897140244106116	3.434490363999944	-0.2526001174992771	2.442681225155722	6.606453311156221	3.132343780082586	5.399868874047745	4.729146868628329	2.4932016103429198	5.419320720710927	3.1512338879464536	7.7979285650215955	-0.23298040656859714	2.794287472843134	12.67854653437536	4.067670818648045	4.870057705519774	3.7804806778719335	6.258285356709526	11.058844425804034	4.872531600297541	3.737135789490284	4.949757248598165	2.647502183813867	3.0291761297816366	2.836215382988468	3.7660810321402463
Cluster_37 CEBPA,CEBPB,CEBPD(...),CREB1	0.8854821558863777	0.26749477357332246	1.5941558922227308	0.0	-1.705198852985575	0.39027891420608846	-0.882262877815975	0.9990097910326063	0.5378680658271368	0.3535305931532547	1.1453110554015173	-0.7219987603202916	-0.9337485448206442	-1.534295839789384	1.8531836751697932	-2.0907322803713164	-0.18229503883746345	1.3304719048108276	1.0011239716659421	0.2604181038839574	0.7795527349122114	0.21159147487229707	-0.4338797814416616	0.9915326164405328	0.16901948848859472	-1.5238864401896217	-0.2734828053435356	1.0826612366264219	-1.1374666313234996	0.3778665550418717	-1.7325961372012695	-1.1359790034074018	0.6403403660196355	-1.4416888080946766	1.8149595011565438	0.6429312673661437	0.6431591806917973	-0.028845519270624974	-0.5732228812095702	-0.18538730714034948	0.8520936094346531	-0.2942538399530173	1.2990819939707425	-0.13209686971148496	0.8691232437713426	-0.18280627261494725	0.6937178990242991	-0.6924889361764456	-0.26218190263049745	-0.31097947474181176	1.100831955458982	1.3386027918707262	-0.0456911969267523	1.733981505221855	0.7461578200116249	0.8999929460601823	0.20978479416561222	0.1184719017768389	0.5347678184267128	-0.6969232219045187	0.9434650438355111	-0.5213810256858987	1.2038734522508716	3.4338752878552565	-0.4213668138159879	-0.4093440789105083	0.5736078464431431	0.6698792307077367	-0.6738487083844541	-0.3676959097377133	-0.4423757978799321
Cluster_67 CTCFL,Plagl1,PLAGL2,CTCF	-1.804110361636606	-9.161859799136197	-4.498649415582094	-1.705198852985575	0.0	-2.8924831152561916	-5.1235847956934935	-13.12843909253536	-12.321958336711294	-14.840626060961922	-3.344137901166188	-1.4371503098822551	-1.5219582189598384	-13.177027944170066	-1.6112426099772887	-15.427829040688774	-16.293385215370577	-3.0915940207690378	-1.531532820070129	-5.038936915117475	-1.496868397216318	-5.985214694729303	-4.646842780772685	-10.033100448852956	-1.8367349958147248	-1.2761570797372483	-3.7576133617768397	-3.139128237355496	-10.21684983380168	-4.136639018024588	-7.716810299915096	-10.048389263060125	-7.069429340067662	-16.469308704056655	-0.152920886736915	-0.31922384584995284	0.830058907639776	0.8836235175415074	0.488927307521603	-1.1791926354922293	-3.4097975451285185	-0.872833565278665	-1.1721947639668435	-0.4411312903428126	-0.7192611430636652	-2.782795481446991	-0.3372351606003471	-1.88870976446496	1.5288473306002544	0.08772408466571141	-1.1180028400031388	-2.331176303395058	-0.5427541849240082	-0.8939754458454993	-0.7978078627658326	-0.5213060859582762	-1.0990407946306255	-1.3924717707589993	-0.3716046355801117	-3.04925611061858	-3.831561163218118	-1.0508413630954128	-4.536190488179147	2.879853427701536	-2.3914450558107316	-2.171657597192457	-3.693016195644347	-0.1823182532683527	-2.363198990239622	-3.3371545939498706	-0.6890408461141624
MPP3_MA1480.1 DPRX	1.0538581413220094	-0.3636078611975711	2.284850333339106	0.39027891420608846	-2.8924831152561916	0.0	-0.3895326673509669	-0.07498594277601202	-0.9096883722069995	-0.10717504716360261	2.1666406734639665	-0.2300709864150786	-0.08687280798205059	-0.05071645465797429	0.5396508804674609	-0.39667977563687584	-1.3825220131484968	-0.30934889706338126	0.19642061269816316	-0.0775580290360233	0.46416663035537736	-0.4563851417789895	-0.17113868117499592	-0.5504608836222077	0.7194916766111007	-0.08626249098125542	-0.3047556928873706	-0.5593134773734207	-1.1461022558681053	0.2027898779703243	0.19604875553412118	-0.7682329997216364	-0.16437445752763896	-1.393349679047236	0.20885886460544753	1.6883079652555653	0.40156466463870144	0.7939757388769036	-1.1905589293728633	0.9628186338850084	-0.10406855059030554	1.2029767173475772	-0.09592550582558836	0.13642105680019584	0.3457916552057838	-0.38645971421431585	0.32654153736287184	1.7248492709119196	1.2365019810712339	-0.5212960724006371	0.9137931441373218	0.6307414271923315	-0.3116515717949109	0.11999963909956606	0.6370443844530602	0.21247689869826933	0.7612767671802049	0.3311987688342614	0.7888287819121905	0.42112465003349187	-0.03216824876535112	-0.4963493894777019	0.098639494799074	2.346125504453106	0.8727362594903761	0.8444274598573958	0.6095678187998876	1.2187600371334737	0.260546721464625	0.21087755635236508	0.0894864053645731
MPP3_Cluster_35 E2F1,E2F2,E2F4(...)	-0.8876772932253129	-1.8617010653508639	-1.2301324637617221	-0.882262877815975	-5.1235847956934935	-0.3895326673509669	0.0	-3.230650141630667	-2.0533071877615545	-4.193101298013832	-1.437423141063122	-0.715448062336606	0.9743451954848298	-2.7438141055197467	-1.250349726361902	-3.452943585032081	-3.313925502470197	-0.5734992075776875	-0.2996926757435677	-1.344750209745812	-0.2782936146176609	-1.120582008712641	-1.4508767833899812	-2.7709018189064385	-0.013457331730358534	-1.0507317778510399	-1.4117971177083957	-0.16161506578245008	-2.826789512820194	-2.0346840666826895	-2.9007281484132665	-1.9344292049278935	-1.8840814685316463	-4.2948026745018675	-0.2146792118287344	-0.4395701124872177	-0.17197570241203072	-0.5402446648633303	1.6431976349962407	-0.206836466570389	-0.7084180817782115	-0.5734094057257351	-0.6417621243230275	-0.059364028704796304	-0.8364000932659443	1.2134877942335258	-0.5517316870767822	-0.8793105024801533	0.1612276009452065	-0.967147956323696	-0.7646189612148011	0.24656406144344087	-0.5183999551962397	-0.36954017917981546	-0.9108791208428049	-0.2884042494444877	-0.46574535761701474	-1.018765370656549	-0.28935692358508436	-1.4854700705930888	-1.4254080530290734	-0.6716932905253924	-2.1975825767705413	0.5455215141877494	-1.2890480265181765	-0.08083875088762682	-1.4080178852081058	0.9037910954264541	-1.188015461499661	0.4357001329769962	0.11038293404707465
Cluster_61 E2F6,KLF15,TFDP1,MAZ,ZNF148,ZNF263	1.5629645446301894	-7.05643507268643	2.3760009932709685	0.9990097910326063	-13.12843909253536	-0.07498594277601202	-3.230650141630667	0.0	-8.947197398255309	-2.641246055914209	2.114024001257005	-1.5316337095801826	-0.4543775729718455	-7.650812049552827	2.058310536950442	-12.115137954965329	-8.057694424329162	0.5538482901806817	-1.1819114539585953	-1.1234180442897368	-0.009161222879569641	-3.189687068862314	-2.1485477526913197	-1.1977175544118626	0.22974141279538915	3.4573712310651934	-0.20935074716944616	0.636793858096631	-8.120386598839483	-0.5211661603734528	-5.45753669232175	-8.949382342156136	-6.355774391702369	-12.37891010782123	0.5438591105026384	0.12399117548396218	0.4670279141877015	7.041881779906808	1.8804176893936466	0.7367544124236527	-0.8098786576020872	2.4410384464753996	2.2548978295672986	2.304130520690546	1.7123851673883574	-0.8752881381961176	-0.2587569643681763	-0.6059234246004734	1.7157150394538263	-0.23804849552528098	0.3922099403720394	1.7101078824353313	2.6426656244581244	1.0772339787322869	0.7095817459118214	3.105853518703132	-1.0169334991023506	3.7567542508931275	6.120897069286444	-0.4020010706131988	-1.221461928823978	-0.13781923865010068	0.12043644727932314	5.996080688984168	0.31613876948387404	1.584509765708436	0.01965145197496938	0.314432251383369	1.2311332256367735	-2.1101588959948088	2.5870749540376585
Cluster_69 EBF1,Ebf2,EBF3,TFAP2A,TFAP2A(var.2),TFAP2B(...)	-0.4443934085579345	-6.225624432291569	1.8217672095085329	0.5378680658271368	-12.321958336711294	-0.9096883722069995	-2.0533071877615545	-8.947197398255309	0.0	-10.92952579531953	-0.7397776973299999	-0.7095506590847823	0.8174693031117954	-9.608891999900747	1.4969593629026596	-12.951112277440743	-12.597540015239865	-0.8034691310804687	-0.9966848991648346	-2.2607415407563747	-0.1069013192025161	-3.5856393798712016	-2.2196734584869384	-6.754331047591488	0.1445940320314981	1.8851221905624962	-1.3552656092830346	-0.4232682194555465	-7.510111875427732	-3.277485593543357	-4.738255220929372	-8.442784243044741	-4.819216504855247	-13.722006253765416	-0.9356566187871136	0.036536940155289334	0.4406265153983122	6.053845201274242	2.7713167598673825	0.22713447295790962	-0.9274438894496735	0.3965141665861196	-0.35161641759686063	0.5595574258252383	0.19050809325973125	-0.7631298689463946	0.30412524622571957	0.42496659098913486	1.6062765201404507	-0.017225666692139048	0.7787717943026218	0.0700328762892811	2.3631877000991315	0.6491033172098409	-0.6251292297881835	4.064817769501126	1.2080917810169127	-0.259129592882217	3.2583585209748174	-1.4792745163605785	-3.0775133585342345	-0.22456523096431558	-2.5996560927935835	3.670487445556397	-1.2079253458793675	-0.18675935215309916	-1.1850760916122287	1.19591595099698	0.3895737159150718	-2.392719439866852	0.817963903845199
Cluster_60 EGR1,EGR2,EGR3(...),Wt1,Znf281,ZNF740	0.645116327577896	-6.93642633095746	0.2071755927412469	0.3535305931532547	-14.840626060961922	-0.10717504716360261	-4.193101298013832	-2.641246055914209	-10.92952579531953	0.0	-0.794495272229853	-1.4983428689768925	-1.0487809725966262	-9.218249125103302	1.505811327603016	-11.957801734706795	-8.205814901443492	0.23041404599084062	-1.198403252324876	-3.532843849335752	-0.05002387886451123	-4.755452187153811	-3.0001128724500465	-1.3719882727655957	-0.0057798342151718345	1.0816496665958337	-1.7729981541499003	0.1781766423566895	-9.732227470904805	-1.7630283243296245	-6.636274006457055	-9.960212383773634	-7.30835629391316	-13.115835352881717	0.9346266024923429	0.06590165508529887	0.3224420281776376	5.3870270562241735	2.4912751359578293	0.07858848600338074	-0.08553374818602931	1.619679003093967	1.221152115899471	1.5834542944954573	-0.44258376842239056	-0.8936095412365566	-0.052126309160284386	-0.652482136786943	2.021615465627664	0.5781000576681952	-0.7019235215573255	-0.4120267030700757	2.8925015393890576	0.2390592307674302	-0.4047502963081354	1.411494893794853	-1.0640593239291394	5.027403981002503	6.262802585672023	-2.0034369086666604	-1.2037521135083635	-0.39687954229540967	1.030192698630389	3.9615986889314585	0.0014954666439150515	-0.6097072542626882	-0.5965187505064715	-0.3981242572729472	0.8213667884390347	-2.2214244089318718	0.5023629169205392
