row,logFC,logCPM,F,pvalue,FDR,genesymbol
1,-9.68086317315031,5.05767971129155,2396.06126115433,4.10012073539366e-24,5.00091726095965e-20,Igkc
2,-3.38219209846817,2.18944701856437,171.984607099915,6.20995945525655e-12,3.78714377378821e-08,Jchain
3,-0.517885106588023,9.19093305794188,102.740684795521,8.58066143641664e-10,3.48861091799913e-06,AY036118
4,0.56585555153125,6.34226900431775,70.1531346231666,2.54659892735237e-08,7.17839683131263e-05,Cst7
5,0.487708758007718,7.2578937457232,68.4392467937048,3.14364874867109e-08,7.17839683131263e-05,Cd48
6,-3.55503822706538,0.740472820122608,67.5070985790789,3.53122743198129e-08,7.17839683131263e-05,Thbs1
7,0.559890607437337,5.81865831650052,64.7731193973518,5.00212453018264e-08,8.71584469923394e-05,Ass1
8,3.64912326918755,1.32829723579092,61.8710481743728,7.32942380596774e-08,0.000105525025023789,Tcrg-C1
9,1.58542350545998,4.22507492643222,97.7639622499965,7.78654771840701e-08,0.000105525025023789,Lrp1
10,-0.708479887654892,4.74708321134618,51.715004837214,3.12987012048144e-07,0.00035984787942154,C030034L19Rik
11,-0.572040120616164,5.57705495693736,51.7308757971053,3.24532809185614e-07,0.00035984787942154,Nos1ap
12,0.436139785169783,6.74107652492152,49.9137292653649,4.13566172464487e-07,0.000420355550462446,Ppa1
13,-0.443628453790239,6.78706442449282,47.6324947993684,5.94749237495403e-07,0.000533567743446544,Txnip
14,-0.694304494395397,4.54624826943747,47.4516979742359,6.12441453492795e-07,0.000533567743446544,Slc35d3
15,-5.89462284431108,0.280998395937011,53.2513667697674,6.80608964324949e-07,0.000553425835858094,Cd79a
16,-0.708651321197676,4.48752170702424,46.279260181573,7.42084286277665e-07,0.000565700127483042,Lst1
17,1.33672147923534,3.50009267016821,52.6442188340602,1.18234637876784e-06,0.000848298751872433,H2-Eb1
18,0.428135415488863,5.97170650723271,42.387484344245,1.43933680393753e-06,0.000973659616230266,Uck2
19,0.803055103460951,5.65109257045459,61.5181050753737,1.51672810595844e-06,0.000973659616230266,H2-Ab1
20,-0.859981720483161,3.82150149077625,41.3125639439835,2.13096825739268e-06,0.00125849154095857,Wfdc18
21,-0.68596477266713,6.5557610881524,62.0796050549715,2.16678874806346e-06,0.00125849154095857,H2-Ob
22,0.40396670425891,6.21307887641237,39.5753547384937,2.38449377760757e-06,0.00126903522331719,Gbp7
23,0.430922390466164,5.86488476694296,39.3917889290493,2.46639831313063e-06,0.00126903522331719,Nt5dc2
24,-0.398298980629671,5.96360608224665,39.3247379110479,2.49707676966569e-06,0.00126903522331719,Arap2
25,0.581952312378791,5.04209107028967,38.3865284399276,2.97299190657e-06,0.00138575451065616,Rgcc
26,-1.78065036744447,3.13282316921988,60.5904829194986,2.97629624454963e-06,0.00138575451065616,Elane
27,-0.590514074653552,5.13649511263041,39.3703912572007,3.06758807802872e-06,0.00138575451065616,Gria3
28,0.373494119055771,7.00789241339663,37.1437543927609,3.76217912084306e-06,0.00159798011252141,Dtnbp1
29,0.352389016465584,9.561714944635,37.8063271463673,3.7994115981898e-06,0.00159798011252141,Gapdh
30,-0.650345515357343,4.23440769994044,35.8147062996992,4.86705848110952e-06,0.00197878374313643,Stxbp4
31,-0.361730287552866,7.37841881532901,35.2920120932237,5.39480910925802e-06,0.00212259634534258,Pou2f2
32,-1.36256315747385,1.78433642438665,35.0971006992459,5.6073315136127e-06,0.00213726945223544,Ly6c2
33,-0.664610823539369,3.81846867466294,34.4052956051681,6.43868019405804e-06,0.00237977522202806,Spry2
34,-0.440245486231982,5.7038250560351,34.0241170675682,6.95353081197668e-06,0.00249447692099058,Plek
35,0.426039906989125,7.27059195789914,36.835137795293,7.47463636180363e-06,0.00259138491905249,Pnp
36,-0.414443655298683,7.80081993238016,37.0659926702397,7.64859039812165e-06,0.00259138491905249,Samsn1
37,0.539179845764848,4.75469052129954,33.1915358306777,8.24145586124556e-06,0.00271678478755708,Them6
38,-0.466487720528456,5.62001430543203,33.701647650348,8.65318092500239e-06,0.00277744336163827,Hlf
39,-0.597854420501061,4.60069879965739,32.5818184423356,9.66215163489565e-06,0.00302177598694416,Auts2
40,0.594526402599007,4.24014816518771,32.2964058110712,9.92307535582657e-06,0.00302579375287542,Acat2
41,0.330091489837943,8.1961932983213,31.9116898666177,1.07579754376244e-05,0.00320036649787085,Nme1
42,0.470935591330654,7.25699188090121,38.0759823071419,1.15921374139146e-05,0.00322924476074077,Fabp5
43,0.304723349781903,8.35748804404566,31.507166830165,1.17193338109031e-05,0.00322924476074077,Phgdh
44,-0.948178689108076,3.12940797720414,31.8854810778713,1.18836133437335e-05,0.00322924476074077,Cd28
45,-1.76410994310459,1.18076724377698,31.4296391553304,1.191407839906e-05,0.00322924476074077,S100a8
46,-0.418199773046072,6.41606325943552,33.3956703566024,1.23435026465771e-05,0.00326719981670417,Angpt1
47,2.81105487784098,5.81204536602637,188.845049666965,1.25898492567923e-05,0.00326719981670417,Socs2
48,0.293617893896285,8.36573885403482,30.4790318692473,1.46120812701183e-05,0.00371299073440903,Ldha
49,-0.560759481519059,4.37926177220582,30.191882332779,1.55532180721497e-05,0.00387148164951039,Kdm7a
50,-1.8737701453343,0.84629550166999,29.981177027706,1.62858662146185e-05,0.00397277420439403,Gm11579
51,-0.488423447587461,4.71328978685497,29.7855015776048,1.70000948003897e-05,0.00406568933883044,Mylip
52,-0.53544799767433,4.74749585619412,29.5981766619462,1.77159853797778e-05,0.00415542064763751,Rnase6
