	Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	MPP3KO_Cluster_18 MPP3KO_Cl18	Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	MPP3KO_Cluster_10 MPP3KO_Cl10	Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	Cluster_26 MPP3KO_Cl5,MPP3KO_Cl4,MPP4WT_Cl4	Cluster_39 MPP3KO_Cl20,MPP3WT_Cl9	MPP3KO_MA1536.1 MPP3KO_Cl17	MPP3KO_MA0506.1 MPP3KO_Cl14	Cluster_16 MPP3KO_Cl12,MPP4WT_Cl17	MPP3KO_MA0067.1 MPP3KO_Cl23	Cluster_12 MPP3KO_Cl7,MPP4WT_Cl21,MPP4WT_Cl20	MPP3KO_MA1616.1 MPP3KO_Cl3	Cluster_29 MPP3KO_Cl19,MPP4WT_Cl3	MPP3KO_Cluster_2 MPP3KO_Cl2	Cluster_4 MPP3WT_Cl14,MPP3WT_Cl3,MPP4KO_Cl1	Cluster_5 MPP3WT_Cl8,MPP4KO_Cl4	Cluster_22 MPP3WT_Cl1,MPP3WT_Cl2	MPP3WT_MA0739.1 MPP3WT_Cl7	Cluster_7 MPP3WT_Cl4,MPP4KO_Cl5,MPP4KO_Cl7(...)	MPP3WT_Cluster_5 MPP3WT_Cl5	MPP3WT_MA0513.1 MPP3WT_Cl6	MPP3WT_MA1581.1 MPP3WT_Cl10	MPP3WT_Cluster_11 MPP3WT_Cl11	Cluster_1 MPP4KO_Cl6,MPP4KO_Cl3	MPP4WT_Cluster_5 MPP4WT_Cl5	MPP4WT_MA0041.1 MPP4WT_Cl14	MPP4WT_MA0850.1 MPP4WT_Cl15	MPP4WT_MA0109.1 MPP4WT_Cl10	Cluster_18 MPP4WT_Cl19,MPP4WT_Cl18	MPP4WT_Cluster_11 MPP4WT_Cl11	MPP4WT_MA0676.1 MPP4WT_Cl8	MPP4WT_MA0687.1 MPP4WT_Cl1	MPP4WT_Cluster_16 MPP4WT_Cl16	MPP4WT_MA1585.1 MPP4WT_Cl2	MPP4KO_MA0079.4 MPP4KO_SP1
Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	0.0	-0.018970174456772074	-0.06023985752244433	-0.01868321605869268	-0.013374318691495263	-0.04432619570798091	-0.03911174969422766	-0.015053959148548549	-0.15969300675301906	-0.0869060886998255	-0.02347192549190599	-0.0446978544231759	-0.009095053593468733	-0.01862150967487946	-0.072296863546362	-0.01252807154765874	-0.04727862348373394	-0.04668960567961748	-0.043969501740994135	-0.04469785442317594	-0.0650647120684691	-0.04230904846112175	-0.16530883357041165	-0.03563986854488104	-0.1343643434430813	-0.045367010349452716	-0.057813548622983615	-0.02764501330977894	-0.06873120739114086	-0.06522938871385174	-0.03416348597002297	-0.0941784742769678	-0.02745434145951181	-0.000969361430810715	-0.07449674367031402	-0.12894856486594294	-0.040427035538614514	-0.12951824701864229	-0.0383270049965195	-0.021886501970013045	-0.09632402727120333
Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	-0.018970174456772074	0.0	0.8727407194095914	-0.04825069540503827	4.83331937128712	-0.10940680095912989	-0.1589421874574153	-0.08685497469891455	0.5829158362810801	0.7227661483187934	3.2887244262630855	-0.10281171311174146	2.0241136429348674	6.215393717610538	-0.0397623345004749	0.5215159903048099	-0.07314425780815521	0.06523698902701507	0.22442891219617542	-0.14653039006983695	4.794894837789928	1.700773800416461	3.81560527880375	0.5982955926711305	16.44320856747309	0.3234549727193873	2.0104131360602526	2.112028739496717	5.963344899754522	8.435386805399116	-0.017113829378357235	-0.10140965693862118	-0.10760864814453666	0.6355068870571107	-0.13866565826827054	0.13155569001432202	-0.08624269543035804	0.10921907502360963	-0.14019276151198387	-0.1485457573526252	11.969333069692414
Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	-0.06023985752244433	0.8727407194095914	0.0	-0.048872053158980924	-0.11668465000771752	-0.07238545567300493	-0.11286584101619739	-0.05874899120012438	-0.28804150014714125	-0.23772759987191763	-0.11695376390375838	-0.11892318541630471	-0.07887604261299556	0.7950279462322052	-0.047561146203578396	-0.03519684969163045	-0.11294015054776164	-0.1522203707164793	1.0236448273464744	0.5587958169869355	0.37054830552348544	-0.1862904616865457	0.35381694780254824	-0.20227092308834851	-0.11348260045194138	-0.18083382676574755	-0.21476180430346614	0.49724148847805594	-0.2748481931719691	3.3669166713813623	-0.07753851359235098	-0.09600456206875427	-0.05366318846627673	-0.05703144410565477	-0.11216011745804698	-0.20122879414312667	0.6288234552147807	0.14000109583384457	0.6207883178687111	-0.07124093183775387	0.6094591749008401
Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	-0.01868321605869268	-0.04825069540503827	-0.048872053158980924	0.0	-0.02368360252553547	-0.022430516161696053	-0.04241844363371597	-0.032455067114035285	-0.19159203137065461	0.6660569282824711	-0.03733374489060154	-0.0532634912177383	-0.02943296625602708	-0.044001721476689154	-0.036836395853200886	-0.010821678694070549	-0.06636654289540835	-0.05759116962411581	-0.0679045738865275	-0.05092631206484857	0.6241907638653239	-0.059387573571428265	-0.2400763934926421	-0.05922515963017732	-0.21187161148416805	-0.08138905727774846	-0.07531036400185577	-0.06025653630359574	-0.08539673674684983	-0.12937192036865577	-0.15846761126585834	-0.06739745889061201	-0.022888313411530872	-0.0202904524479212	-0.12458879692283253	-0.21701905673374597	-0.057591169624115875	-0.1308779792358288	-0.02840223686487104	-0.026958294404583506	-0.14440686885610055
MPP3KO_Cluster_18 MPP3KO_Cl18	-0.013374318691495263	4.83331937128712	-0.11668465000771752	-0.02368360252553547	0.0	0.6601798780102718	-0.15405565548631314	-0.052219259308115024	-0.27932844960041425	-0.4361507213206552	0.5789140128836354	-0.08220665648681641	1.204533923730481	8.919113826670307	-0.03098860917170107	0.5127980587391855	-0.03733374489060152	0.32192937462062327	0.17382121752876833	-0.09836847989581168	1.2080050218114369	1.717852885848546	1.9640155877259449	1.5676200366673474	4.3399028197998755	-0.2563630541240582	0.7414920311926477	2.3741879039410176	0.03458060935375066	8.092938086012776	-0.011507130034263473	-0.08854413539490696	0.6008599968368624	-0.04962735258394946	-0.05930158214633334	-0.16507809972583867	-0.06243318525228079	-0.24667619888963258	-0.10667264415846424	-0.08556274472347587	1.319645643093132
Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	-0.04432619570798091	-0.10940680095912989	-0.07238545567300493	-0.022430516161696053	0.6601798780102718	0.0	-0.08623188738493934	-0.040466681853478376	-0.43335931381039167	-0.23780192662691368	-0.10380678598666336	-0.09516993324181677	-0.08008022078948349	-0.17129124511936075	-0.09122203684184306	-0.048322371316574554	-0.1056097995539523	-0.1317061003481445	-0.14019885925855563	-0.10357374057559693	-0.22833531795782055	0.3907910596822912	-0.07441244842756674	-0.10446119587366225	-0.05187393879253531	-0.1583671414618435	-0.25143815045053247	-0.19666543349856225	-0.26411312047286817	-0.3229748336026195	-0.0717912236543442	-0.3255108644853245	-0.19693473800591585	-0.07722335624216016	-0.19685085288282256	-0.3104274932811364	0.5179972049152382	-0.34619696742687833	-0.10627979796270515	-0.06785734547408828	-0.2700901441097992
MPP3KO_Cluster_10 MPP3KO_Cl10	-0.03911174969422766	-0.1589421874574153	-0.11286584101619739	-0.04241844363371597	-0.15405565548631314	-0.08623188738493934	0.0	-0.05454431563522401	-0.3967694336259575	1.3494902504668402	-0.16712701243965045	-0.14000933488924203	-0.11938974870034086	-0.24610296836082732	-0.10006831595649297	-0.06416963006994005	-0.12629958336982403	-0.19122760818631104	-0.20376495945528966	-0.15588592538929383	1.0125533947012662	-0.2996931458965428	-0.6291226766013577	-0.2457558671995596	0.45690218731730725	-0.4288656745754267	-0.32882737148625635	-0.28008835066121346	-0.49465608039007014	-0.5270724118599571	-0.06986322174970822	-0.13116155613953806	-0.09097948590783807	-0.07834926086481231	-0.17336505429889776	-0.2592247477874401	-0.1021831655336537	-0.36260151538467267	-0.19987929536067534	-0.09337051248000477	0.21997878378704092
Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	-0.015053959148548549	-0.08685497469891455	-0.05874899120012438	-0.032455067114035285	-0.052219259308115024	-0.040466681853478376	-0.05454431563522401	0.0	-0.24611531229102204	1.1847682083154423	-0.056535986583355236	-0.06313564423892139	0.6663151358750077	-0.11991613202795626	-0.020001681842894393	-0.03864139250604503	-0.04195694184185723	-0.09031157442555092	-0.06940809352124407	-0.0858798421135892	0.3528780240210212	-0.16054287974353268	-0.4287897741413293	-0.1095607250975327	-0.4029246411121615	-0.13610602084718507	-0.21208748177975778	-0.15892393796171694	-0.16031739242494875	0.1116975962591085	-0.040677330820732736	-0.08519972381769465	-0.032674401306502704	-0.04550935978191363	-0.0737265906749117	-0.21258093712329684	-0.05693070868004449	-0.2296735921743414	-0.08556274472347587	-0.07495019678073432	-0.34978939504453754
Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	-0.15969300675301906	0.5829158362810801	-0.28804150014714125	-0.19159203137065461	-0.27932844960041425	-0.43335931381039167	-0.3967694336259575	-0.24611531229102204	0.0	-0.06622424096659398	-0.42179011235086616	0.1510692066094698	1.0315582016597877	0.32411348602479495	-0.39050035449232634	0.17034269007444555	-0.5669364072726986	-0.26889104594180635	0.42954732084521546	-0.6658370466798318	1.2306956510288298	-0.3998167903392816	-0.6310613911281061	-0.19202289903506747	1.224682879375462	-0.5138123500350256	-0.23933474924669268	0.1677699576638859	-0.6301992439290903	1.1273598879171856	-0.3325667307948623	0.4513909370948886	-0.32359018306525095	-0.28483846625119186	-0.16242803576016307	-0.9480727914795969	-0.22683055440764785	-0.21954574190703538	-0.5523620716403167	-0.3198010990905443	1.165970336991513
Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	-0.0869060886998255	0.7227661483187934	-0.23772759987191763	0.6660569282824711	-0.4361507213206552	-0.23780192662691368	1.3494902504668402	1.1847682083154423	-0.06622424096659398	0.0	0.16349521610412177	-0.21209300773245024	0.21836945295202123	0.6267558338818711	-0.10334052419568031	0.9800945788158838	-0.15594193825023386	0.7786516991667051	0.04149964708725701	1.1009851548793033	2.650237535889965	1.614031371530762	0.10959253487086529	-0.3077194668645251	2.3299836862088408	2.5444407406247547	1.5390236000494721	0.31049417196430795	1.1426832249923078	1.5885720499707023	-0.07790996212171065	-0.24144214581068577	-0.2148588485005159	1.6064936440864495	-0.17591904333860844	-0.4014492667551946	-0.25713053482196285	-0.407103867656608	-0.2747997959091014	-0.23653187187912353	1.8451762286324647
