	Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	MPP3KO_Cluster_18 MPP3KO_Cl18	Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	MPP3KO_Cluster_10 MPP3KO_Cl10	Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	Cluster_26 MPP3KO_Cl5,MPP3KO_Cl4,MPP4WT_Cl4	Cluster_39 MPP3KO_Cl20,MPP3WT_Cl9	MPP3KO_MA1536.1 MPP3KO_Cl17	MPP3KO_MA0506.1 MPP3KO_Cl14	Cluster_16 MPP3KO_Cl12,MPP4WT_Cl17	MPP3KO_MA0067.1 MPP3KO_Cl23	Cluster_12 MPP3KO_Cl7,MPP4WT_Cl21,MPP4WT_Cl20	MPP3KO_MA1616.1 MPP3KO_Cl3	Cluster_29 MPP3KO_Cl19,MPP4WT_Cl3	MPP3KO_Cluster_2 MPP3KO_Cl2	Cluster_4 MPP3WT_Cl14,MPP3WT_Cl3,MPP4KO_Cl1	Cluster_5 MPP3WT_Cl8,MPP4KO_Cl4	Cluster_22 MPP3WT_Cl1,MPP3WT_Cl2	MPP3WT_MA0739.1 MPP3WT_Cl7	Cluster_7 MPP3WT_Cl4,MPP4KO_Cl5,MPP4KO_Cl7(...)	MPP3WT_Cluster_5 MPP3WT_Cl5	MPP3WT_MA0513.1 MPP3WT_Cl6	MPP3WT_MA1581.1 MPP3WT_Cl10	MPP3WT_Cluster_11 MPP3WT_Cl11	Cluster_1 MPP4KO_Cl6,MPP4KO_Cl3	MPP4WT_Cluster_5 MPP4WT_Cl5	MPP4WT_MA0041.1 MPP4WT_Cl14	MPP4WT_MA0850.1 MPP4WT_Cl15	MPP4WT_MA0109.1 MPP4WT_Cl10	Cluster_18 MPP4WT_Cl19,MPP4WT_Cl18	MPP4WT_Cluster_11 MPP4WT_Cl11	MPP4WT_MA0676.1 MPP4WT_Cl8	MPP4WT_MA0687.1 MPP4WT_Cl1	MPP4WT_Cluster_16 MPP4WT_Cl16	MPP4WT_MA1585.1 MPP4WT_Cl2	MPP3KO_MA0079.4 MPP3KO_SP1
MPP3WT_Cluster_5 MPP3WT_Cl5	-0.007212067216131906	-0.16148385144401545	-0.053478441012665676	-0.02059021981157156	-0.07595373701183966	-0.051652539926331426	0.4650936214495987	-0.027998454088259465	-0.23319412843462903	-0.29191827894732136	-0.09457641152763425	-0.0861048665081173	-0.10817419778066606	-0.2420140029621471	-0.029973886692321008	-0.13195365802180845	-0.03779362003402477	-0.12183915832271487	-0.10838941329645177	-0.12991513012741532	-0.30227862272889555	-0.31273257439171614	-0.14406658556943097	1.0221478027429645	1.495272944267747	0.0	0.06091913291916785	-0.22794024150847636	0.1532316951604421	1.8881648042939885	-0.02405806778963728	-0.059864309323885666	-0.045066104787223	-0.05362249359966536	-0.0533522932966306	-0.11012284424954484	-0.07358551046902871	-0.2545727462721349	-0.08125528306026612	-0.08503987791994976	3.8595868376032567
MPP3WT_MA0513.1 MPP3WT_Cl6	-0.022220266287517564	-0.20332805875994434	-0.06663271976516794	-0.02188650197001305	-0.10043593951337264	-0.07933908908497195	-0.09836847989581177	-0.060809506390759056	-0.31529010601049373	0.14414719451114533	-0.11202915953376043	-0.0930993058787794	-0.14452348633410217	-0.28520432540054846	-0.02805826831781524	-0.09525004671578903	-0.046414887599810564	-0.22453771290068109	-0.1440586607590845	-0.14647190382665776	0.30764991169349476	-0.39622641509434015	-0.6635382674064597	-0.308313463561537	0.11817603565659572	0.06091913291916785	0.0	-0.3375263168961479	-0.43171644143914983	0.8077842431288561	-0.028831478410891342	-0.07223090673056023	-0.07753851359235098	-0.059934786451213876	-0.07207505404016874	-0.17193643837074318	-0.06871922063824407	-0.3141766184663659	-0.12828708267687575	-0.11962601453401417	0.3234949418989123
MPP3WT_MA1581.1 MPP3WT_Cl10	-0.004567309217186737	-0.3049095388920716	-0.054759493660674306	-0.0196794219138981	-0.1767572038801677	-0.07098143189838271	-0.09468585652535003	-0.05004355151635657	-0.20344857215241416	-0.30573802728175103	-0.10210400303173829	-0.08553591761199991	-0.11271647949652881	-0.15597961864042165	-0.009095053593468728	-0.10311011223856043	-0.04284398678674707	-0.25603479447703387	-0.14666599015824844	-0.1595104324996558	0.47628444047838575	-0.07775235142518427	-0.5589554584628725	-0.19934041368012054	-0.7532909608623172	-0.22794024150847636	-0.3375263168961479	0.0	-0.4123391007123496	-0.27534162564153586	-0.014119225840224566	-0.03542919727804945	-0.06313564423892135	-0.04978851120360245	-0.04962735258394945	-0.1107534814124307	-0.06205703658699099	-0.23046749738800965	-0.10517365258020275	-0.09115495341354213	0.05518123904159649
MPP3WT_Cluster_11 MPP3WT_Cl11	-0.02378118185007669	0.13360053478096373	-0.10693297952325245	-0.03243493757217374	-0.16433114711128308	-0.08993513041248212	-0.1709470192024481	-0.05104243660943232	-0.33866296804255497	-0.6599892367384147	-0.12217358573371913	-0.09610472115545465	-0.16394130249814398	-0.48016092358874735	-0.02605393622745178	-0.09807757346644377	-0.059612780154823	-0.226729757217313	-0.22365218830163158	-0.14426454750693202	-0.7027717895612668	-0.45623975367987946	-0.37809406996621747	-0.3119771994177134	-0.7654507857579189	0.1532316951604421	-0.43171644143914983	-0.4123391007123496	0.0	-0.4935841047672056	-0.01661328846754826	-0.07798724138467902	-0.1013437586212587	-0.07079728853939928	-0.07002593037408528	-0.18440852353727835	-0.08513038111665158	-0.33106191641310995	-0.12306451663485403	-0.10476240224721331	-0.23809930701687607
Cluster_1 MPP4KO_Cl6,MPP4KO_Cl3	-0.01843023837903211	-0.5813024354269701	0.3003305571329145	-0.036801787173142114	0.03153042230831816	-0.13715679273984607	0.264295248238365	0.5115140053967364	1.2069715781835206	1.5034367586556536	0.22847353625210887	-0.12978929929865587	0.9128110746943559	-0.620028602229802	-0.04295678253773802	-0.37496697964821285	-0.07141971643801065	-0.4078178112615729	-0.33957740540865994	-0.2142970298609825	0.9332463222128469	2.259832035970455	-0.24998371814033804	0.9393089438656953	-0.1156090263692179	1.8881648042939885	0.8077842431288561	-0.27534162564153586	-0.4935841047672056	0.0	-0.039035683134357665	-0.11428037597286982	-0.14352038507722728	-0.11757683186305551	-0.1446755760425161	4.9410218141839914	-0.10212398718187443	-0.4421738150474326	-0.19915810374459866	-0.2015123240344121	0.15649132609850222
MPP4WT_Cluster_5 MPP4WT_Cl5	-0.008945357862027025	-0.002844437605912679	-0.023781181850076716	-0.05965807421873946	-0.005455438967626991	-0.015599676591848381	-0.020570230576128383	-0.012824547022519813	-0.11823299565367662	-0.02198641094311998	-0.005569856997300519	-0.009095053593468733	-0.0064613039218419785	-0.007274846988840993	-0.0995121314372176	-0.002844437605912679	-0.1007630337283866	-0.019783550337504004	-0.010394525275650376	-0.00822338021121408	-0.03411016853449176	-0.013340459665588618	2.8060142478889154	-0.014216218591409311	-0.05779187910143601	-0.02405806778963728	-0.028831478410891342	-0.014119225840224566	-0.01661328846754826	-0.039035683134357665	0.0	-0.10533398449192878	-0.009878887693525898	-0.006461303921841977	-0.02795053336404491	-0.15993237771556704	-0.01671763017107859	-0.05718696578842493	-0.009095053593468731	-0.008148527602179764	-0.030397277013791964
MPP4WT_MA0041.1 MPP4WT_Cl14	-0.027454341459511814	-0.028876129371293392	0.7545344311250152	-0.021039157129973143	-0.02562816290784881	-0.10617829459438823	-0.02594064341683032	-0.01609265753677592	6.066564088542914	0.738962228611911	-0.040574426053915306	-0.036366213008574885	-0.018869875046792616	-0.04140942153352063	-0.15646832318526321	-0.01082167869407055	-0.1507562060995136	-0.0595310661556338	-0.04578462855742356	-0.018154890570184906	-0.06385161125924892	-0.09214442243380833	-0.20025077611193465	-0.041289020154926234	0.3461052686050692	-0.059864309323885666	-0.07223090673056023	-0.03542919727804945	-0.07798724138467902	-0.11428037597286982	-0.10533398449192878	0.0	-0.05451863545821888	-0.016717630171078586	-0.04803304498896378	0.6021006679275944	-0.03620717196660775	-0.12419861752217382	-0.03658051861583836	-0.018869875046792616	-0.0958333871481766
MPP4WT_MA0850.1 MPP4WT_Cl15	-0.009735209336095304	-0.037858972197817184	-0.01578571881613195	-0.006461303921841976	0.8258633274520626	0.997304037014154	-0.020699486510877618	-0.006461303921841977	-0.09703174164792709	-0.06459595789658344	-0.028524736463857503	-0.030988609171701022	-0.03470146445055902	-0.08395531499607163	-0.009961039252769763	-0.01743725706118172	-0.01588771104130071	-0.02642080820538067	-0.05379520291815484	-0.034215418180606506	-0.08308612470995114	-0.07974792188687388	1.0663951305432455	-0.036984158274166914	-0.18673341002198496	-0.045066104787223	-0.07753851359235098	-0.06313564423892135	-0.1013437586212587	-0.14352038507722728	-0.009878887693525898	-0.05451863545821888	0.0	-0.008223380211214078	-0.010736222964315598	-0.07199155577939317	-0.02642080820538067	-0.09164129971630257	-0.020814379749057827	-0.02000168184289439	-0.1050148806223984
MPP4WT_MA0109.1 MPP4WT_Cl10	-0.001914468046606274	-0.026599023588347516	-0.018366531429382254	-0.015514067361730399	-0.01671763017107856	-0.0191857676645685	-0.022430516161696057	-0.017543859649122813	-0.10314298360736766	-0.08508836379498005	-0.01495441335274685	-0.016717630171078572	-0.02799845408825947	-0.03611729963284049	-0.0028444376059126794	-0.01671763017107858	-0.011677268985328795	-0.032401070382068964	-0.03606512244884778	-0.031900705279853885	-0.053908512263432885	-0.07605483854584646	-0.16857176507298588	-0.035604037758612386	-0.17538000285696312	-0.05362249359966536	-0.059934786451213876	-0.04978851120360245	-0.07079728853939928	-0.11757683186305551	-0.006461303921841977	-0.016717630171078586	-0.008223380211214078	0.0	-0.024832882490864943	-0.08847895767341905	-0.02288831341153087	-0.08219769546511078	-0.027082084369196742	-0.014216218591409313	-0.10114673628440884
Cluster_18 MPP4WT_Cl19,MPP4WT_Cl18	-0.018869875046792616	-0.043969501740994246	-0.03456717347824684	-0.045182726320164235	-0.015887711041300726	-0.06043999330374798	-0.04565487771464349	-0.016334045568956783	-0.12888755318147233	-0.05204905151400763	-0.03008188987225769	-0.02879061040043657	-0.03303838111942005	-0.05361924675806293	-0.03310299018093769	-0.012528071547658741	-0.04522767770170515	-0.04858631529401337	-0.03881892967872444	-0.02786810525347658	-0.06907741434546136	-0.05541220054001701	-0.16802120490081615	-0.030346708710297852	-0.17831708014703204	-0.0533522932966306	-0.07207505404016874	-0.04962735258394945	-0.07002593037408528	-0.1446755760425161	-0.02795053336404491	-0.04803304498896378	-0.010736222964315598	-0.024832882490864943	0.0	0.28888856053685236	-0.024708956868017048	-0.12031756157379388	-0.02840223686487104	-0.022998577898621354	-0.1347811486467225
