	Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	MPP3KO_Cluster_18 MPP3KO_Cl18	Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	MPP3KO_Cluster_10 MPP3KO_Cl10	Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	Cluster_26 MPP3KO_Cl5,MPP3KO_Cl4,MPP4WT_Cl4	Cluster_39 MPP3KO_Cl20,MPP3WT_Cl9	MPP3KO_MA1536.1 MPP3KO_Cl17	MPP3KO_MA0506.1 MPP3KO_Cl14	Cluster_16 MPP3KO_Cl12,MPP4WT_Cl17	MPP3KO_MA0067.1 MPP3KO_Cl23	Cluster_12 MPP3KO_Cl7,MPP4WT_Cl21,MPP4WT_Cl20	MPP3KO_MA1616.1 MPP3KO_Cl3	Cluster_29 MPP3KO_Cl19,MPP4WT_Cl3	MPP3KO_Cluster_2 MPP3KO_Cl2	Cluster_4 MPP3WT_Cl14,MPP3WT_Cl3,MPP4KO_Cl1	Cluster_5 MPP3WT_Cl8,MPP4KO_Cl4	Cluster_22 MPP3WT_Cl1,MPP3WT_Cl2	MPP3WT_MA0739.1 MPP3WT_Cl7	Cluster_7 MPP3WT_Cl4,MPP4KO_Cl5,MPP4KO_Cl7(...)	MPP3WT_Cluster_5 MPP3WT_Cl5	MPP3WT_MA0513.1 MPP3WT_Cl6	MPP3WT_MA1581.1 MPP3WT_Cl10	MPP3WT_Cluster_11 MPP3WT_Cl11	Cluster_1 MPP4KO_Cl6,MPP4KO_Cl3	MPP4WT_Cluster_5 MPP4WT_Cl5	MPP4WT_MA0041.1 MPP4WT_Cl14	MPP4WT_MA0850.1 MPP4WT_Cl15	MPP4WT_MA0109.1 MPP4WT_Cl10	Cluster_18 MPP4WT_Cl19,MPP4WT_Cl18	MPP4WT_Cluster_11 MPP4WT_Cl11	MPP4WT_MA0676.1 MPP4WT_Cl8	MPP4WT_MA0687.1 MPP4WT_Cl1	MPP4WT_Cluster_16 MPP4WT_Cl16	MPP4WT_MA1585.1 MPP4WT_Cl2
Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	0.0	-0.017543859649122875	-0.04154725283440056	-0.008945357862027027	-0.004670567674689836	0.8214017949859974	-0.01733668752647743	-0.009961039252769763	-0.10453389811918541	-0.041917661841767234	-0.011677268985328797	-0.03102429280021106	-0.009961039252769763	-0.01254689127534691	-0.04255870851906795	-0.005569856997300524	-0.026293593633483263	-0.03102429280021106	-0.021157021928203804	-0.01651509546737587	-0.035972712486650044	-0.01535486062727356	-0.11217586397684366	-0.015599676591848376	-0.06792804284505753	-0.03606512244884779	-0.03470364990521582	-0.023274811909542323	-0.04202566678922337	-0.04216654354030228	-0.024783551736833623	-0.05513818838535847	-0.008880243856018863	-0.002802043971929638	2.3547656603780878	-0.07849252618706293	-0.02000168184289439	-0.0932683648531901	-0.018154890570184923	-0.012272878489187627
Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	-0.017543859649122875	0.0	-0.07129314472916869	-0.024702453880037056	0.3934034902425406	-0.06040558033251045	-0.09862453361534322	-0.03567427459339238	-0.20555606167171095	-0.2389228627812567	-0.11163213348976028	-0.058472025411152526	-0.14628653609578973	-0.16127503734018356	-0.02877301280221292	0.5149034828933484	-0.04959814367396928	0.2339691933621143	1.1473210047105737	-0.10671672090245068	0.9001780566934358	0.17553602446223973	-0.2042010423069628	0.5239922251741465	0.5133183957715596	1.6329102968685723	-0.30323150770044777	-0.5066610283748589	0.5145406915050647	-0.13933116651696795	-0.017636813498368546	0.40226389677200175	-0.06285188034310872	-0.039179708724401095	-0.08966743654180248	0.28185609698689684	-0.05188576587024227	-0.20118142808095102	-0.06058167222696781	-0.08274267401003749
Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	-0.04154725283440056	-0.07129314472916869	0.0	-0.029060370265241	1.2838946016727266	-0.04478899351104044	-0.0696036320559838	-0.031630154844687855	-0.18636432868444774	-0.15862633537042947	-0.07406826850330181	0.6851926080934073	-0.05885338971332964	-0.12524408470854664	-0.026612879932528723	-0.029602558941061025	-0.06785734547408832	-0.08890177905954086	-0.07932406253274026	-0.07816882456848961	-0.13780281400336186	-0.12883469736179234	1.1516434642160343	-0.1429756475112985	0.9174513044330916	0.6264780586346599	0.5532971733659681	-0.10597783023476626	0.48124171055451465	0.5736007331194656	-0.0456868945460911	0.709029327403414	-0.03821874865984249	-0.025628162907848803	-0.04727449552477166	0.10831094213846973	-0.05813081880788225	0.34628354208020895	-0.06621406366677904	-0.038355806162462466
Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	-0.008945357862027027	-0.024702453880037056	-0.029060370265241	0.0	-0.016250002186753588	-0.015887711041300715	-0.027445112687981128	-0.015432614070597971	-0.11058564718266173	0.7537153986002957	-0.027621824378579296	-0.03418658815360211	-0.016717630171078576	-0.023023224999341795	-0.02971686747880461	-0.004670567674689837	-0.04601319856292994	-0.025523499198194743	1.463951974725827	-0.0223118562378899	-0.04828971132458641	-0.04495990603188606	-0.16201965911990163	-0.044826426646494694	-0.12185460732722835	-0.04202566678922338	-0.03532863986165068	-0.034066403447853125	0.7171059064231224	-0.07096718396321336	-0.10872531301924532	-0.03030112795384067	-0.025622911331085543	-0.009016424236956219	-0.09558128740299034	-0.13469300652563074	-0.024708956868017034	0.6311222864393414	-0.015887711041300705	-0.011431324083233664
MPP3KO_Cluster_18 MPP3KO_Cl18	-0.004670567674689836	0.3934034902425406	1.2838946016727266	-0.016250002186753588	0.0	-0.05051944695178542	-0.07932406253274034	-0.03939611859496133	-0.1662388180653628	0.8282083445218639	-0.07252379030591467	-0.04582175364920823	-0.08193445587418352	-0.31914951091965976	-0.014216218591409313	-0.11238886156917642	-0.023113671389142887	-0.16835221808222142	-0.1806122609194944	-0.0590636572136169	-0.33012781801425267	0.19910677594295878	0.056716830046874785	-0.1540370849843023	1.296287760879408	0.47750975503982873	-0.2098020592870646	-0.30741238936044374	0.24024062004622992	0.9254226764212251	-0.003712792074078268	-0.058353813864859036	-0.06064329882762917	-0.025628162907848778	-0.03393668427470237	-0.10459037893060036	-0.039396118594961345	-0.15818879305928876	-0.05764283594678244	-0.05741593575950436
Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	0.8214017949859974	-0.06040558033251045	-0.04478899351104044	-0.015887711041300715	-0.05051944695178542	0.0	-0.055429353099868045	-0.026293593633483263	0.46784662732691557	-0.14377925838504457	-0.06820284053229973	-0.060479997879057744	-0.04404504116824824	-0.11303516136895411	-0.042246909537318154	-0.02403489746900088	-0.06025653630359576	-0.08935694959343023	-0.09058054150599962	-0.07528753407463634	-0.1538921309254894	1.1494919747012278	0.6581515142827091	-0.06574501474195871	0.5756338756164789	-0.10764651171071009	-0.14406304495631797	-0.12247202053269989	1.1306867622077215	-0.24088842682730532	-0.04024597132211285	0.3701287460866865	2.744857420627206	-0.03698415827416693	0.5499081087186147	0.06314477455077641	0.6402241268635345	-0.2140199506788406	-0.05504913817773038	0.7750119702891693
MPP3KO_Cluster_10 MPP3KO_Cl10	-0.01733668752647743	-0.09862453361534322	-0.0696036320559838	-0.027445112687981128	-0.07932406253274034	-0.055429353099868045	0.0	-0.04030042684416632	0.06594271507358242	-0.1936062585551473	-0.09571052591637882	0.6453810375489907	-0.06609831014151321	-0.15082457786529116	-0.06413977642593971	-0.05287266406022044	0.6634453447029	-0.12306451663485403	-0.13343789323500432	-0.1011838850702754	-0.22758089672743576	-0.17760791233527992	-0.4391613953931391	-0.1402718826518639	-0.538333871064211	-0.2750222106525244	0.4236016543618161	-0.1664526854844558	-0.3269930285502571	-0.3613826132913523	0.7250951006520041	-0.07641185477083351	-0.06115111887347422	-0.04180335656403223	1.3098701775828474	0.558550704150576	-0.060793083782712226	0.3393629886245045	-0.13089430162409862	-0.0561487802904663
Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	-0.009961039252769763	-0.03567427459339238	-0.031630154844687855	-0.015432614070597971	-0.03939611859496133	-0.026293593633483263	-0.04030042684416632	0.0	-0.1765966242486919	-0.08652750560299853	-0.036845894493468666	0.7835158948566162	-0.037465977343835395	0.6384527625257356	-0.009961039252769763	-0.016717630171078576	-0.014861267858108346	-0.06097873800339821	-0.032214914211049626	-0.040938796272529054	0.44524293355970196	0.5142496839064853	-0.30177840743167356	1.4902891785070371	-0.29515348231297267	-0.07634528012205821	0.5750984901092324	0.6185221511035672	-0.09468585652534993	-0.18690510335094543	-0.023912680082587304	-0.05333684687123334	-0.024034897469000883	-0.019781558122978216	-0.039250126442596005	-0.13854709927330133	-0.036711425184385894	-0.155870891485682	-0.05972772866882381	-0.0477068139759318
Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	-0.10453389811918541	-0.20555606167171095	-0.18636432868444774	-0.11058564718266173	-0.1662388180653628	0.46784662732691557	0.06594271507358242	-0.1765966242486919	0.0	0.0771384712663671	-0.2876769919310809	0.016894039083304967	0.12286850161091001	-0.018183089174862634	4.050053060877829	-0.15009707357661659	3.0366629108250476	0.04716268005986721	0.6634439101572615	-0.12178287022174712	-0.2141170847302353	0.08250925374992188	-0.10293519275496113	-0.28631079236119866	-0.33245791040333283	-0.26868926439688934	0.2902101905417191	-0.1058785937702727	0.2258495873103317	-0.4519838969942663	0.37815232062072224	1.1918745403838018	0.7764187593793567	-0.20440181154015102	0.10595941150432509	2.3186272702786095	5.462350015663799	0.3462443072514348	0.4056605187670793	-0.20655688028060606
Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	-0.041917661841767234	-0.2389228627812567	-0.15862633537042947	0.7537153986002957	0.8282083445218639	-0.14377925838504457	-0.1936062585551473	-0.08652750560299853	0.0771384712663671	0.0	-0.2175121595157281	0.5288305251874671	1.0035544315556313	-0.04460964122751214	-0.04578462855742359	-0.13331588124008256	-0.10447753461133433	-0.3747350568241758	2.3351529342468016	-0.23674226314997493	-0.4844991404054764	2.267068743817685	-0.33868135272672606	0.29611941046716095	0.4718984104471635	0.8141935794078936	0.09241668289619832	1.1659708241027695	0.4031621299610024	-0.5072991963719723	-0.05124571393436383	-0.13072902396618097	-0.1397570402228058	0.5345542310757574	-0.12635383905272068	-0.2699152965473766	-0.16037788397121383	0.35416323308694175	0.4368497983177751	0.4965995236880114
