MPP3_KO1	MPP3_KO2	MPP3_KO3	MPP3_KO4	MPP3_WT1	MPP3_WT2	MPP3_WT3	MPP3_WT4	MPP4_KO1	MPP4_KO2	MPP4_KO3	MPP4_KO4	MPP4_WT1	MPP4_WT2	MPP4_WT3	MPP4_WT4
Trip13	2045.4	2380.9	2312.9	2108.7	1995.6	2152.7	2428.1	2206.2	2317.3	2129.6	1920.5	2034.3	2289.1	2527.4	2464.6	2742.2
Cep72	767.2	943.5	664.6	786.8	883.4	910	860.8	768.6	931.3	906.4	1029.2	922.5	965.2	976.7	1021	920.8
Pdcd6	6354.8	6163.4	6647.4	6652.6	5745.2	5250.6	6198.1	6512.6	5925.4	5564.9	6046.8	6404.5	5527.5	5455.2	6043.5	6557
Sdha	18657.4	18970.8	18817.6	20523.5	20677.7	19595.2	19625	20831.2	18857.8	20062.9	18310.1	19334.8	20108.6	19370.6	18684.7	18839.2
Ccdc127	3591	3019.8	2911.9	2859.4	2548	3019.2	3153.7	2938.6	2914	3072.4	2716.3	2755.8	2976.6	2629.9	2924.7	2464.3
Erap1	5565.2	5060.4	4693.4	4848	5408.9	5062.4	4792.9	5288.9	5069.8	4111.3	4851.8	4644.2	4821.6	4889.7	4702	4285.7
Cast	2796.6	2614.1	3155.6	2995.6	2590.6	2481.3	3071.3	2812.6	2207.5	2147.8	3029.4	2824.8	2855.3	2910.9	3245.9	2739.6
Rhobtb3	779.3	674.6	384.7	587.4	451.3	697.9	812.3	775.9	543.9	396.5	485.4	492.8	507.7	337.6	555	486.8
Glrx	3264.6	3717.1	3605.1	3330.4	3595.3	3127.3	3426.7	3136.2	3280.8	3298.1	2667.3	3168.7	2858.7	2539.5	3129.1	2964.6
Arsk	1227.6	998.3	852.2	857.2	921.7	1199.2	1136.5	991.6	914.7	698	1002.7	667.3	971.9	1111.8	905.6	892.2
Srd5a1	182.9	227.3	217.1	269.8	277.8	198	138.7	207.6	191.6	225.6	275.9	212.9	212.4	189.3	198.5	221.6
Nsun2	11904	13278.6	12251.1	11376.1	8127.2	11338.1	11107.1	12029.9	11050.1	11693.4	12003.4	10492.8	8264.9	11601.4	10936.6	11738.3
Mctp1	3831.1	4166.8	4431.6	4445.6	4350.9	3808.4	4170.5	3587.6	1820.1	1597.7	2242.8	2348.7	2180.4	2302	2023.6	1894.4
Slf1	611.5	367.7	443.7	720.9	769.5	783.6	701.3	660.8	603.9	528.1	553.1	788.5	758.6	812.7	652	614.4
Ndufs6	3919.2	4358.4	3880.3	3943.9	3532.5	3576.7	3654.7	3884.9	3914.7	3915.4	3924.6	3496	3710.9	3478.9	2869.6	3402.7
Mrpl36	4712.7	5475.6	5291.4	5202.6	4740.5	4860.2	4141	4961.7	4485.5	5137.7	4660.8	5152.8	4497.9	4752.2	3997.9	4430.9
Lpcat1	1474.3	1125.6	982.7	1278.5	700.3	1287.7	1176.3	1578.1	1125	1456.5	1371.4	1077.3	762.8	1149.2	1491.4	1567.9
Clptm1l	2836	3573.1	3540.3	2410	1016.4	2610.5	2309.3	3336.5	2445.8	2984.1	3803.9	2381.2	1076.4	1964.3	2642.5	3135.8
Tert	138.8	105.9	174.3	119.1	260.8	188.2	98	141.4	232	91.2	199	225.7	249.2	375	216.8	128.4
Xrcc4	1027.9	840	757	748.9	625.8	741.5	885.1	763.2	619.5	639.4	693.7	838.8	778.7	731.9	1007.7	858.7
Atg10	1008.2	757.9	822.7	725.4	655.6	737.2	882.5	974.4	873.3	900.6	883.3	874.2	860.6	788.6	866.6	928.3
Zcchc9	918.1	930.5	903.6	1127	1033.5	1009.7	1373.1	967.1	1032.8	1096.5	863.4	1235	958.5	1133.5	1178.3	1064.3
Cd180	574	409.3	488.5	354.6	624.8	585.6	489.8	593.7	1072.2	858.4	882	941.3	961	1022.6	899.7	863.7
Slc30a5	3420.3	3793.2	3847.9	3323.1	2230.8	3243.9	2837.3	3121.7	3874.3	3674.4	3862.3	3505.8	2520	3599.4	3754.6	3168.5
Mrps36-ps1	153.8	142.8	138.1	120	101.1	109.5	110.1	131.4	134.7	129.6	119.4	142.9	127.1	125.4	99.2	116.7
Rad17	947.2	846	1187.4	1100.8	1126.1	800.4	1069.7	1140.3	1111.5	1210.7	941.7	1181.7	978.5	1029.8	1199.6	947.6
Marveld2	203.5	272.5	218.1	280.6	306.5	276.6	489.8	314.5	41.4	184.3	195	237.5	215.8	241.2	321.9	134.3
Gtf2h2	2115.8	1655.1	2002.5	1903.8	2160.6	1869.1	1797	1985.9	1856.4	1450.8	1721.6	1739.6	1936.2	2048.7	1625.2	1684.6
Serf1	958.5	822.2	692.3	665.9	765.2	918.4	936.2	864.7	797.7	712.4	801.1	734.3	802.1	735.6	760	675.7
Smn1	3020.8	3071	2865.2	3148.1	2509.7	2422.4	2911.8	2794.5	3136.8	2932.2	2866.2	2564.6	2587.7	2459.9	2668.9	3008.2
Mccc2	2203.9	2386.8	1992	1958.9	1856.2	2228.6	2308.5	2373	2151.6	2036.4	1859.5	2007.7	2255.7	1922.1	2028.7	2142.9
Ptcd2	3115.5	3303	3482.2	3723.8	2827.9	3405.4	2993.3	3111.7	2995.9	3059	3184.5	3832.1	3368.9	3501.8	3316.5	3192
Btf3	11442.6	11313	10395.3	9997.4	9818.4	8945.2	10534.2	10352.1	10788	10608.5	10402.5	9419.5	9812.2	9188.5	9380.6	9493
Ankra2	911.6	824.6	763.7	1137.8	852.5	1074.3	1035.9	862.9	718.9	783.5	664.5	966.9	823.8	668	822.5	742.8
Arhgef28	484.9	474.7	440.9	559.4	450.2	332.8	690	414.2	356.4	326.4	179.1	160.7	146.4	142.3	332.2	231.7
Hexb	2212.4	2313.1	2372.9	2403.7	2518.2	1996.9	2184.5	2392.9	2033.5	2030.7	2254.8	1974.2	2163.7	1687	2147.8	1960.7
Gfm2	1315.8	1615.8	1524.5	1690	1699.7	1565.8	1626.2	1426.7	1739.3	1099.4	1668.5	1634.1	1722.9	1969.1	1494.3	1055.1
Polk	840.3	580.6	531.3	637.9	640.7	869.2	969.2	649	693	493.5	563.7	509.6	485.1	764.5	646.8	556.5
Col4a3bp	564.6	421.2	618.9	751.6	734.4	1022.3	631.1	618.2	509.7	344.7	586.2	500.7	598.8	974.3	585.1	575
Hmgcr	2364.3	2522.5	2535.7	2849.4	2895	3134.3	2580.7	2821.7	2489.3	2502.1	2514.7	2838.6	2770.9	2933.8	2469.7	2643.9
Poc5	1191.1	1423	1447.4	1417.5	1291	1235.8	1276	1284.4	1523.8	1385.5	1573	1576	1280.5	1320.4	1308.4	1488.2
F2rl2	103.2	76.1	111.4	84.8	60.7	179.7	112.7	110.6	37.3	44.2	70.3	42.4	88.7	82	115.4	122.5
Iqgap2	5608.3	5486.4	5074.3	4662.1	3000.3	3579.5	4707.9	5527.3	5219	4707.5	5146.2	4415.5	3250.1	3440.3	4072.8	4374.7
Aggf1	1993.9	2646.2	2381.5	2583.3	1967.9	2399.9	2441.1	2545.2	2209.6	2245.7	2597	2674	2107.6	2345.4	2247	2852.1
Ap3b1	4327.2	4381	4339.2	4965.3	5017.2	4891.1	4434.9	4748.7	3804.9	3194.4	4049.3	4120.8	4726.3	4398.9	4297	4618.9
Scamp1	2100.8	1718.1	1732.1	1574.5	2088.2	1554.5	2253.9	2138.2	1586	1175.2	1305.1	1151.2	1415.1	1463.9	1587.7	1543.6
Jmy	291.7	198.7	274.2	346.5	329.9	457.8	384.9	302.7	341.9	252.5	298.4	283.9	276.8	322	328.6	303.8
Dimt1	1037.3	1053	1060.8	1206.4	1189.9	1332.7	1210.1	1139.4	1126	1078.2	1155.2	1292.1	1202.7	1398.8	1077.6	963.6
Kif2a	1533.4	1543.2	1477.8	1681	1117.5	1359.3	1595	1587.1	1522.8	1276	1155.2	1627.2	1263.7	1244.4	1239.3	1402.6
Ercc8	901.3	642.5	764.6	839.1	676.9	712	527.1	773.2	603.9	456.1	550.4	667.3	628.9	738	553.5	496.1
Elovl7	227	280.8	298	264.4	245.9	264	235.8	235.7	108.8	85.5	94.2	134	140.5	113.3	102.9	55.4
Depdc1b	521.4	365.3	462.8	506.2	535.4	630.5	550.5	591	326.3	336	395.2	697.8	556.2	473.9	535.8	428.1
Pde4d	1170.4	943.5	940.8	1226.2	946.2	1131.8	1264.8	1185.6	983.1	712.4	907.2	692.9	784.5	876.6	1154.7	932.5
Plk2	103.2	38.1	462.8	50.5	21.3	75.8	431.7	152.3	230	24	1307.8	148.8	49.3	108.5	1884.6	470
Serinc5	878.8	535.4	692.3	622.6	1013.2	686.7	878.1	621.8	657.8	507.9	541.1	566.7	990.3	934.5	788	889.7
Mtx3	439.8	298.7	310.4	389.8	309.7	285.1	510.6	298.2	453.7	339.9	295.8	422.8	337.9	356.9	456.5	273.6
Zfyve16	511.1	492.6	397.1	638.8	503.4	665.6	462.9	455	408.2	376.4	411.2	567.7	639.8	457	411.6	312.2
Dhfr	3003	2284.5	2382.4	2328.8	2468.2	2544.5	3181.4	2494.4	2895.4	2861.2	2285.3	2523.2	2667.2	2411.7	2183.8	2606.2
Erbb2ip	2795.7	2132.2	2287.2	2772.7	2333	2457.5	3449.3	2941.3	2332.9	2077.7	1799.8	2114.1	2256.5	2070.4	2796.8	2206.6
Nln	1237	1098.2	1381.7	961.8	1110.1	1416.9	917.1	992.5	687.8	743.1	980.2	875.2	869.8	859.8	875.4	836.8
Trappc13	3561.9	3342.3	3499.4	3780.6	3654.9	3544.4	3739.7	3534.1	3199.9	3057.1	3839.8	3977.9	3344.6	3531.9	3127.6	3182
Trim23	1292.3	1006.6	1226.4	1065.6	910	744.3	1079.2	976.2	846.3	1017.7	964.2	860.4	1033.7	873	1276.8	973.6
Ppwd1	405.1	333.2	321.8	467.4	457.7	578.6	554.8	535.7	490	356.2	515.9	498.7	566.2	502.8	665.2	556.5
Cenpk	2089.5	1758.6	1698.7	1783.8	1627.3	1815.7	2225.2	1529.1	2005.5	1607.3	1931.2	2121	1768.9	1855.8	1749.4	2079.1
Cwc27	2036.1	1988.2	2144.4	1856.9	1833.8	1940.7	2192.3	2084.7	1769.3	1825.2	1859.5	1791.8	1876.8	1714.7	1829.5	2008.6
Srek1ip1	1469.6	1128	1364.5	1332.7	1338.9	1237.2	1276.9	1249.9	1279.4	1229	1067.7	1473.5	1308.9	1272.2	1071	1347.2
Rgs7bp	326.4	308.2	270.4	372.6	430	227.5	432.6	330.8	103.6	193	205.6	228.7	269.3	232.7	252.1	223.3
Rnf180	720.3	750.8	557	513.4	497	530.8	822.7	733.3	433	563.6	521.3	454.4	379.7	302.7	534.4	700.9
Parp8	3569.4	3745.6	4070.7	3892.5	3038.6	2551.6	3150.2	2967.6	4747.6	4063.3	5590.5	4584.1	3637.3	3840.6	4391.1	4323.5
Emb	19026	19190.9	18843.3	16670.7	11882.1	11694.8	14094.4	13763	34268.1	31008.4	28512.3	27526.2	23707.5	24743.9	26898.7	25408.8
Mrps30	2521.9	2371.4	2364.3	2292.7	1905.1	2519.3	2142	2380.2	2567	2549.1	2362.2	2558.6	2216.4	2550.4	2308	2729.6
Slc4a7	1294.2	1477.8	994.1	1320.1	1061.1	1421.1	1612.4	1760.3	1717.6	1228	1371.4	1352.3	1300.5	1551.9	1517.9	1274.1
Psmd6	6088.5	6558.4	6602.6	6961.2	6095.4	6420.3	6217.2	6126.4	6323.2	6854.4	5358.4	6076.3	5844.5	5419.1	5348.9	5648.8
Atxn7	839.4	638.9	899.8	995.2	974.9	721.8	1213.6	676.2	799.7	769.1	692.3	709.6	807.1	885.1	973.2	726.9
Gm5457	541.1	416.4	379.9	389.8	415.1	356.7	426.5	394.3	382.3	314	289.1	272	294.4	230.3	243.3	252.6
4930452B06Rik	71.3	36.9	75.2	57.7	69.2	54.8	47.7	158.6	50.8	200.7	152.5	133.1	92.8	197.8	184.5	198.9
Pdhb	7625.6	7507.9	8243.3	8171.1	6832.9	6911.8	8158.9	8011.8	7805.6	7371.9	7503.1	8611.3	7268.8	7592	7626	7946.1
Kctd6	298.2	260.6	167.6	194	112.8	221.9	165.6	223.9	189.6	346.6	271.9	171.5	37.6	125.4	224.2	271.9
Map3k1	3292.8	2699.7	1988.2	2992	2859.8	3436.3	2673.4	2938.6	3607.1	3689.8	2236.2	4425.4	3864.8	3703.1	2928.4	3677.2
Il6st	1147	727	1017.9	970.9	1445.3	1004.1	1108.7	991.6	2869.5	2050.8	2002.8	2020.5	1939.5	1787.1	1904.5	1981.7
Ddx4	86.3	50	116.2	43.3	109.6	126.4	85.8	37.2	1032.8	830.5	1286.5	1040.8	2010.6	1397.6	1575.9	1346.3
Ndufs4	3002	3057.9	3151.8	3140	2742.8	2381.6	2917	3464.3	2983.4	2741.2	3322.5	2669	2896.3	2819.3	2452.1	2736.3
Kat6b	528.9	296.3	544.7	736.3	861	671.2	545.3	552.9	426.8	477.2	644.6	736.3	744.4	865.8	641	580.8
Samd8	496.1	381.9	371.4	443	527.9	331.4	443	289.1	504.5	326.4	273.2	445.5	531.9	473.9	496.2	347.5
Vdac2	9722.6	9529.4	9214.5	9155.5	8425.2	8328.7	8967.7	9743	9143	9286.4	8537.7	8863.6	8363.6	8601.3	8521.3	9556
Nkiras1	395.8	335.5	329.5	335.7	323.6	268.2	535.7	287.3	330.5	455.1	416.5	483	433.2	367.8	496.9	401.2
Comtd1	187.6	166.6	149.5	205.7	236.3	237.3	139.6	145	92.2	176.7	99.5	95.6	150.5	131.4	113.9	122.5
Ube2e1	3670.7	3588.6	3719.3	3684.1	3283.4	3512.1	3762.2	3874.9	3542.8	3387.3	3670	3668.4	3577.9	3568.1	3456.2	3682.2
Nr1d2	1563.4	1281.5	1221.7	1081.8	858.9	1414.1	1053.2	1431.2	1349.8	1470	1025.3	1064.5	838.9	1422.9	1734.7	1740
Thrb	84.4	77.3	66.7	111	36.2	44.9	84.1	77	106.7	14.4	66.3	94.6	78.6	69.9	101.4	136
Ngly1	3121.1	3117.4	3228.9	3087.6	2978	3165.2	3340.9	3252.2	2546.3	2513.6	2811.8	3171.7	3342.9	2983.3	2691.7	2839.5
Oxsm	632.1	721	707.5	820.2	722.7	1124.8	663.2	897.3	834.9	771	730.8	708.7	715.9	861	682.9	750.4
Fam213a	1522.1	1483.7	1395	1339	1249.5	1206.3	1393.1	1558.1	1021.4	1237.6	953.6	1263.6	1185.1	1082.8	1303.2	1212.9
Glud1	8975.2	9327.2	8931.7	7452.9	6788.2	7705.2	7496.7	9652.4	7006.9	7774.2	8229.9	6571.1	6835.6	7682.4	8687.4	8678
2700060E02Rik	5568	5361.4	5343.8	4947.3	5119.4	4733.8	4955	4920	5256.2	5275.9	5735.1	5112.4	5324.3	4827	4842.4	5235
Nudt13	738.1	916.2	763.7	852.7	831.2	804.6	881.6	718.8	629.8	749.9	671.1	916.6	772.8	897.1	958.5	830.1
Ecd	5918.7	6008.7	6414.1	6586.7	6059.2	5782.8	6272.6	6935	5936.8	5682.1	6141	7234.4	6091.2	6425.9	5969.2	6340.4
Dnajc9	10593.9	11470.1	10963.7	11252.5	11000.8	10989.8	11369.8	11877.6	13825.4	15038.5	12792.5	13672.4	13427.8	12217.6	11879.7	13537.9
Anxa7	2981.4	3185.2	3231.8	3269.9	3264.3	3411	3289.8	2920.5	2306	2436.8	2599.6	2875	2703.1	2376.7	2916.6	2732.1
Ppp3cb	772.8	621.1	590.4	595.5	708.8	661.4	561.7	441.4	1134.3	701.9	500	707.7	873.2	684.9	740.2	555.6
Zswim8	305.7	193.9	341.8	318.5	581.1	408.6	476.8	268.3	405	294.8	313	416.9	469.2	499.2	274.9	348.3
Camk2g	3418.4	3406.5	3442.2	3292.5	2939.7	2728.5	3601.8	3404.5	3664	3594.7	3493.6	3906	3281	3659.7	3858.2	3918.1
Vcl	395.8	318.9	374.2	406.9	598.1	483.1	335.5	393.4	600.8	511.8	523.9	433.7	657.4	511.3	713.7	581.7
Ap3m1	3161.5	2747.3	3029.9	2856.7	3244.1	2968.6	2822.5	2934.1	2289.4	2207.3	2586.4	2515.3	2760.8	2506.9	2470.5	2296.5
Txndc16	922.8	856.7	925.5	804.8	798.2	1042	916.3	893.7	906.4	1016.8	1110.1	1207.4	807.1	918.9	998.9	951.8
Ero1l	1458.3	1803.8	1905.4	2059	1529.4	1452	1367.9	1469.3	1035.9	1098.4	1192.4	1229.1	894.9	1166	1212.8	915.7
Psmc6	7292.7	6140.8	6273.2	5840.5	5908.1	5382.6	6373.2	5908.9	6075.7	5290.3	6317.4	6013.2	5991.7	5544.5	5879.6	5745.3
Mapk1ip1l	2703.8	2648.6	2459.6	2568.8	2836.4	3023.4	2624.9	2729.2	2394	2528	2534.6	2464	2775.9	2792.7	2607.9	2566.7
Ktn1	1873.8	2176.2	2020.6	1826.2	1642.2	1801.7	2106.5	2302.3	2615.7	2054.7	1592.9	2081.6	2035.7	2045.1	2285.2	1812.2
Peli2	502.7	534.2	529.4	402.4	436.4	567.3	346.7	581	380.2	519.4	584.9	343	407.3	512.5	480	467.5
Anxa11	1146	1207.7	1126.5	965.5	1578.4	1488.5	1172	1414	981	1174.2	1266.7	868.3	1407.6	1356.6	1369.4	1602.3
Ppif	7530.9	7983.8	8724.1	9116.7	8805.1	8181.3	7740.2	9085.9	6418.5	7399.7	7690.1	8502.9	7443.6	7505.2	6703.6	7023.7
Slmap	1581.2	1536.1	1444.5	1277.6	639.7	1397.2	1785.7	1797.4	1374.7	1257.8	1481.5	956	641.5	1252.9	1451	1406.7
Pnp	4632	4553.5	5013.4	5163.8	4788.4	4662.2	4147.1	4611.8	4630.6	5063.7	4805.3	6112.8	5414.6	5086.2	4374.9	4646.6
Rnase4	384.5	274.9	239	166.9	231	223.3	122.2	239.3	426.8	278.4	303.7	251.3	277.7	229.1	232.3	198.1
Arf4	9536	9129.6	10904.7	10269.9	9477.8	10075.6	10177	9005.2	9558.4	9011.8	10468.8	10575.6	9385.6	10084.5	10399.3	9589.6
Rnase6	1454.6	1540.8	1731.1	1495.1	1615.6	1454.8	1666.1	1378.7	906.4	1210.7	1338.3	1468.6	1186	926.1	1312.8	1035.8
Hacl1	1330.8	1405.2	1194.1	1330.9	1493.2	1157.1	1343.6	1483.8	1111.5	978.4	1325	1451.8	1422.6	1062.3	1407.6	1282.5
Gpr65	1879.4	1908.5	1808.2	1795.6	1773.2	1901.4	2279	1663.3	1674	1638	1610.2	2192	1899.4	1700.2	1842	1749.2
Eaf1	1345.8	1216	993.2	1001.5	1176.1	1311.6	1213.6	1172.9	1447.2	1181	1379.4	1357.2	1177.6	1099.7	1482.6	1392.5
Mettl6	3477.5	3496.9	3008	3129.1	2645.9	2541.7	3173.6	2602.3	2907.8	2753.7	2184.5	2780.4	2100.9	2134.3	2256.6	2577.6
Sh3bp5	1080.4	1294.5	769.4	983.5	979.2	963.3	1041.1	933.6	2079.1	1786.8	1773.3	1643	1799	1760.5	2166.2	2538.2
Capn7	2407.4	2240.5	2248.2	2935.2	2758.7	2743.9	2809.5	2442.8	2327.7	1919.3	2140.7	2443.3	2695.6	2830.1	2510.9	2500.4
Arhgef3	2671.9	2395.1	2384.3	2030.2	2382	2102.2	2911.8	2573.3	3913.7	3308.6	3712.4	3350.1	4031.3	4143.3	3878.1	4793.5
Btd	845.9	1155.3	1185.5	997	1186.7	1023.7	1040.2	883.8	788.3	1104.2	1358.2	1153.2	1303.9	1305.9	1163.6	1046.7
Bap1	3725.1	4377.4	4484.9	4063.9	5269.5	5164.9	4297.9	4460.5	4424.4	4763.2	4838.5	4400.8	4982.2	5694	6029.5	5585.9
Phf7	1285.8	1153	1036	920.3	1056.9	1100.9	1135.6	1058.7	1213.1	1022.5	1039.9	948.2	1023.7	753.7	1212.8	1133.1
Dph3	1652.5	1581.3	1627.3	1510.4	1595.4	1758.1	1703.4	1628.8	1389.2	1416.2	1787.9	1227.1	1618.4	1451.8	1315.7	1572.1
Oxnad1	1121.7	917.4	1026.5	1272.2	870.6	1123.4	1276	1161.1	1062.9	1134.9	1065.1	829.9	1043.8	1087.7	1096.7	986.2
Gm6768	295.4	276	356.1	328.4	296.9	301.9	344.1	314.5	162.6	153.6	181.7	181.4	147.2	165.2	161	147.7
Nisch	4841.1	4143	4448.7	4918.4	6975.6	7195.5	4919.5	5040.6	6176.1	4574.1	5979.1	5047.3	6492.7	8213	6619.8	5691.6
Parg	1399.3	1117.3	1197.9	937.5	1979.6	2297.4	1044.6	1332.4	1195.4	1107	1354.2	924.5	1680.2	1689.4	1773.6	1834.8
Glt8d1	940.7	822.2	847.5	851.8	613	630.5	745.5	523.9	783.2	955.3	894	921.5	869	912.8	708.6	684.1
Spcs1	5484.5	5376.9	5221	5141.3	5004.4	4913.5	5139.6	4863.8	5327.7	4806.4	4830.5	4933	5090.9	5048.9	4257.3	4783.5
Nek4	573	542.6	513.2	718.2	734.4	568.7	684.8	844.8	778	652.9	612.8	670.2	608.9	649.9	613.8	669
Ebpl	1573.7	1488.5	1411.2	1444.6	1575.2	1280.7	1458.1	1157.5	1669.9	1498.8	1474.9	1565.2	1637.6	1408.4	1553.9	1458.8
Kpna3	3338.7	3698	3187	3784.2	3944.4	3616	3546.3	4059.8	3760.4	3354.7	3234.9	3514.7	4033.8	3991.3	3919.2	3919.8
Spryd7	797.2	723.4	654.2	597.3	742.9	660	692.6	726	705.5	573.2	588.9	588.4	681.6	747.6	661.5	844.4
Rnaseh2b	3392.2	2988.9	2914.7	3004.6	3240.9	3075.4	3066.1	3234.1	3854.6	3460.3	3270.8	3061.3	3487.6	3358.3	3350.3	3427.9
Mapk8	1254.8	957.8	1141.7	1173.9	1202.7	1280.7	1893.2	1503.7	1450.3	958.2	1135.3	1230	1309.7	1333.7	1690.6	1335.4
Pspc1	2471.2	3238.7	2502.4	2181.7	2056.3	2390.1	2899.7	2690.2	2481	2977.4	3001.5	2253.1	2631.2	2426.2	2921	2938.6
Ctsb	12177.9	13040.7	11961.7	11641.4	12206.7	9942.2	10685.9	11751.6	10897.9	10891.7	10990.1	11259.6	11111	11232.4	11933.3	11542.7
Zmym2	2269.6	2020.4	2006.3	2076.2	1833.8	2307.2	2479.2	2031.3	1843.9	1920.3	1837	2208.8	1939.5	2113.8	1903	1882.7
Cryl1	819.7	782.9	842.7	819.3	916.4	688.1	696.1	916.4	1119.8	1233.8	1086.3	1330.6	1140	929.7	973.9	1289.2
Prkcd	4159.3	4346.5	5161.9	5202.6	5072.6	5798.2	4404.5	5021.5	4881.2	5472.8	6497.7	5995.5	6030.2	6845.6	6053	5946.8
N6amt2	1454.6	1420.7	1435	1337.2	1515.6	1435.2	1331.5	1343.3	1488.6	1553.5	1586.3	1551.4	1468.6	1549.5	1297.3	1397.5
Xpo4	1280.2	903.1	922.7	1001.5	1363.4	1106.6	1094	968	1053.5	772.9	899.3	974.8	801.2	1217.9	989.4	981.2
Tkt	24974.8	28050.5	26541.9	24974.5	28110.9	24761.5	23435.7	28539.3	27358.6	30598.4	25360.9	23992.8	24212.6	24930.8	23987.2	27368.7
Pinx1	869.4	949.5	881.7	881.5	741.8	931	826.1	848.4	978.9	795	933.7	977.7	1018.7	940.6	611.6	979.5
Lats2	587.1	504.5	514.2	482.7	402.3	706.3	514.9	378.9	924	830.5	797.1	572.6	441.6	717.5	866.6	973.6
Dcp1a	1531.5	1114.9	1118.8	1348.9	1395.3	1765.2	1211	1363.2	1599.5	1291.4	1322.4	1376.9	1485.4	1580.9	1468.6	1792.8
Sap18	5183.5	5741	5598	6011.1	4931	4995	6054.2	5583.5	6191.7	6041.1	5684.7	5738.2	5627.9	5367.2	5225.4	5789.8
Ska3	1509.9	1439.7	1404.5	1442.8	1138.8	1286.3	1572.5	1739.4	1986.9	1879	1432.4	1954.5	1779.8	1752.1	1878	1707.2
Mrpl57	2494.7	3135.2	3169	2888.2	2974.8	2843.6	2557.3	2822.6	2727.6	2866	3207.1	2807	2688.9	2546.7	2630	2740.5
Zdhhc20	6241.3	5174.6	4500.1	4907.6	3802.8	4510.5	6275.2	5395.9	5614.7	4833.3	4481.7	4941.9	4999.8	4175.8	4818.2	4792.7
Hmbox1	501.7	265.3	548.5	658.7	737.6	1053.2	801	421.5	580.1	502.1	440.3	723.4	710.9	765.7	750.5	555.6
Micu2	5128.1	4770.1	4902	4734.3	3912.4	4403.8	5027	5085	3906.4	4578.9	4278.8	4037.1	4548.1	4775.1	5246.7	5047.8
Ints9	4315	4702.3	4299.2	4926.5	4881	4155.2	4571.8	4585.5	4765.2	4416.6	4509.6	5261.2	4668.6	4103.5	4780	4571.9
Extl3	1546.5	1634.8	1211.2	1184.7	2642.7	2140.1	1359.2	1571.7	1364.3	1572.7	1715	1163	1958.8	1689.4	1709	1699.7
Cab39l	3516	3168.5	3226.1	3093.1	2953.5	2773.4	3190.9	2925.9	2672.7	2351.4	2136.7	2731.1	2737.4	2896.4	2624.1	2502.1
Cdadc1	1977.9	2083.4	2536.7	2338.7	2086.1	2130.3	2388.2	2040.3	1707.2	1714.8	2043.9	1696.2	1773.1	1931.8	1808.9	2089.1
Mtmr6	3027.4	2916.3	3035.6	3008.2	2759.8	3036	2965.5	2777.2	2346.4	2502.1	2601	2826.7	2947.3	3080.9	3450.3	3161.8
Spata13	1426.5	1838.3	1316.9	1108.9	1647.6	1334.1	1534.4	1884.4	1680.3	1481.5	1557.1	1543.5	1799.8	1706.3	1486.2	1787.8
Mipep	1468.7	1652.7	1373.1	1301.1	614.1	1536.3	1256.1	1505.6	1534.2	1600.5	1814.4	1095	642.3	1361.4	1592.8	1875.1
Esd	5840.9	6263.3	5987.5	6166.3	6072	5531.4	6341.1	6247.9	6009.4	5787.7	5367.7	5746.1	5975	5784.4	5951.6	5731.9
Lcp1	48714.4	53406	50259.5	49546.6	47667.8	49139.7	51667.8	55937.4	52925	53947.9	55449	57666.2	54506.4	58740.1	55588	61273.3
Zc3h13	2415.9	3145.9	3124.2	3531.6	2579.9	3232.6	2797.4	2959.4	2596	2951.4	3050.6	3371.8	2882.9	3087	2633.6	2091.7
Slc25a30	287.9	179.7	177.1	185	191.6	168.5	163.8	372.5	348.1	184.3	234.8	192.2	196.5	186.9	264.6	187.2
Gpalpp1	1449	1300.5	1584.5	1324.6	1543.3	1751.1	1631.4	1368.7	1155	1228	1427.1	1260.6	1929.5	1454.2	1467.9	1584.7
Nufip1	1751.9	2235.7	1889.2	2186.2	1771	2092.4	1719	1864.5	1742.4	2337.9	2143.4	2163.4	1745.5	1695.4	1954.5	2011.9
Tsc22d1	15659.2	13373.8	16813.2	13203.2	12153.5	13613	23015.3	19517.8	20285.3	19479.2	24268	22437.5	19049.8	23172.7	32286.6	29937.9
Dnajc15	2037.9	2229.8	1925.4	1889.4	2120.1	1557.3	1748.5	1948.8	1791.1	1377.8	2626.2	1609.5	2006.4	1631.5	1679.6	1661.1
Epsti1	2431.8	2158.4	2422.4	1815.4	2131.8	2068.5	2165.4	2206.2	2504.8	2264	2864.9	2237.3	2463.1	2556.4	2310.2	2847.1
Akap11	1289.5	1116.1	853.2	1014.2	984.5	1124.8	858.2	1142.1	1643	1093.6	1241.5	1216.2	1121.6	1338.5	1060.7	1128.9
Rgcc	1078.5	1841.9	2056.8	2711.4	1655	1286.3	1176.3	1501.9	975.8	1391.2	762.6	977.7	673.3	880.3	790.2	788.1
Tdrd3	1942.3	2112	1835.9	2340.5	1648.6	2223	2336.2	2354.9	1467.9	1781	1510.7	1639.1	1783.1	1981.2	1764.8	1749.2
Naa16	1422.7	1393.3	1309.3	1717.1	1324	1762.4	1296.8	1549.1	1656.4	1435.4	1256	1877.6	1420.1	1650.8	1578.1	1545.2
Diaph3	1826.9	1694.3	1836.8	1930	2350	2246.8	1900.2	2131	1766.2	1361.5	1907.3	1824.4	2265.7	2140.4	2251.4	2045.5
