baseMean	log2FoldChange	lfcSE	pvalue	padj
Bmx	109.972983478183	-4.30198927437647	0.57411724348388	8.55933474699786e-16	5.00644083460501e-15
Ttc39c	323.979735194674	-4.29207963649379	0.359658307124118	9.16307629641048e-35	1.12069760819448e-33
Gatm	4651.30623254736	-4.28659625174869	0.0843452908587365	0	0
Itga1	304.981294022682	-4.23789887886298	0.336249267148611	2.44921918660578e-38	3.29109746168174e-37
F630028O10Rik	239.239244658208	-4.20622810248981	0.374693243377422	3.88224589366634e-31	4.22519158924076e-30
Clec4a2	439.68226927686	-4.17892132720551	0.301639450817161	1.53194908575769e-45	2.43517080225015e-44
Cebpe	736.902290761581	-4.15598422533261	0.200966666965027	6.63264705185812e-97	2.28135894159133e-95
Fgl2	2069.9802421583	-4.13409926933196	0.122532840495087	1.99556349173236e-251	2.33852196159055e-249
Ptpru	118.148470789212	-4.11654167445447	0.511931037181077	1.32708401078265e-17	8.45407879941056e-17
Ptgs1	868.634349460763	-4.10107552865784	0.192603258346183	1.78596531165795e-102	6.56896292368207e-101
Clec4e	210.698891417972	-4.04696376063791	0.374004734549004	4.24367255617148e-29	4.32871781590043e-28
Dgat2	624.609787213684	-4.04291665981474	0.240836483044186	4.5049989887025e-65	1.00223796485969e-63
Mt1	884.381234813153	-4.00954563742264	0.182709739470686	1.48289197728456e-108	5.77011017261538e-107
C3	2128.99406675356	-4.00499687469929	0.134001452338823	4.33490472871898e-198	3.83220788210789e-196
Papss2	1307.91907019046	-3.98177758224145	0.156881210216635	6.5105041383596e-144	3.77085406358552e-142
Stxbp6	207.406378293044	-3.9019290511956	0.389961479615668	2.72738769806679e-25	2.45197263346272e-24
Dstn	6615.94223363853	-3.87822603273699	0.0687936225327645	0	0
Sgip1	111.64292235948	-3.8628883768122	0.535976641697909	1.16178570038543e-14	6.28474304266471e-14
Rab38	448.1040514348	-3.8167788021667	0.260728803084657	3.35088744776518e-50	5.78257597578382e-49
Siglecf	421.279834795199	-3.77532170751643	0.284003305133707	5.75667221751446e-42	8.53172685413393e-41
Svip	1351.80723262687	-3.74731433302448	0.144791792548251	2.57184398218001e-149	1.5708511304491e-147
Kcnip3	507.292958121003	-3.73088983349259	0.300468390099432	5.18677722777624e-37	6.74481818084244e-36
Ncam1	291.995112650496	-3.72817740539524	0.303190430288206	2.33023026955755e-36	2.99160008364344e-35
Fkbp11	429.908570284535	-3.70825077914515	0.2591371865617	4.81171837144646e-48	8.0686352325187e-47
Ccl9	2719.32560290426	-3.70002014241413	0.111277091518946	5.10663190006513e-244	5.78254340324229e-242
Tmem178	81.5585749611872	-3.68450814827773	0.627350626269559	1.01970463778932e-10	4.18257360180738e-10
Gm807	68.7326566939663	-3.6821421560707	0.654462937286898	4.29052721238613e-10	1.6733720296605e-09
Fcnb	645.650840634754	-3.67569801348054	0.202844694442807	5.8511500372093e-75	1.51199718141014e-73
AI839979	137.584641336975	-3.67197431126225	0.459055730545482	3.33700363121743e-17	2.08237291612441e-16
Fkbp1b	118.399731246789	-3.67061132703141	0.497232431293752	4.09866916610582e-15	2.28844254049942e-14
Xdh	778.6709938464	-3.66543022328059	0.192243190620202	1.3027237285088e-82	3.74041303017426e-81
Plod3	3308.44042821449	-3.65944218131528	0.0932290908978946	0	0
Dio2	208.421550448532	-3.65376941074876	0.380007546075428	1.91884536647891e-23	1.60482353554975e-22
Galm	173.45639063559	-3.64695952102466	0.407248099716213	9.47698417432146e-21	7.01756403444612e-20
1700020L24Rik	100.610927465113	-3.62123227793555	0.546825546571968	9.61372951464497e-13	4.55939604934551e-12
Tgfbi	661.322703762696	-3.60378852809263	0.20242467292111	2.03614803277197e-72	5.00495118884779e-71
Ltb4r1	1674.56712394962	-3.5785007890983	0.14826949041458	3.41301265487782e-130	1.63015836662837e-128
Krt18	238.941810259353	-3.56386533615924	0.331548849198091	1.93110891462791e-28	1.92881225387712e-27
Grb14	50.6117037811352	-3.56066478135582	0.795160499623929	1.54324130526381e-07	4.7359274891744e-07
Scarf1	121.152008658047	-3.55388417990149	0.477588113900156	3.08164712114755e-15	1.73211598923173e-14
App	1837.119684607	-3.54823284705305	0.128523914119648	3.0445496403811e-169	2.22340371563483e-167
Idh1	3634.63071824979	-3.54417277180304	0.0891577100304745	0	0
Ap3s1	1779.52955367043	-3.54272277356674	0.123733757808841	9.20054926019505e-182	7.35897900351157e-180
Ms4a6d	63.3405974702744	-3.53871849370487	0.666637658654903	2.83556866511889e-09	1.01878292360314e-08
Hdc	4182.22531865003	-3.52417819898345	0.0879769950410663	0	0
Coprs	99.9918873100982	-3.4995402980823	0.523405164754688	7.27787633437884e-13	3.49601704946949e-12
Aoah	348.912584029494	-3.48511676201354	0.332007000840235	3.25818663473818e-27	3.1183290507969e-26
Ly6c2	19106.3669464571	-3.48339901527255	0.0478649757021811	0	0
Rab32	2680.08732490478	-3.48335825885818	0.101295149559746	1.44049505087774e-260	1.72825108604117e-258
Kcnj2	95.8852621814987	-3.48274188572059	0.62069337385937	5.74312789143449e-10	2.20324487589938e-09
Daglb	1281.56303244035	-3.48101214002158	0.150892501872031	3.57471405861988e-119	1.55284346046427e-117
Dach1	196.019683493056	-3.44649030430623	0.36162866949025	5.99542398750246e-23	4.94450760605972e-22
Rnf125	332.877562963962	-3.43725787404216	0.277901189799382	1.55278213594771e-36	2.00627414949757e-35
Abca9	78.0027461974171	-3.43332685607096	0.632610699293123	1.6582157705875e-09	6.05708537005466e-09
Serpine2	971.941873730808	-3.42087355506767	0.177057141521966	1.5205956294098e-84	4.45481475383488e-83
Hnrnpll	2026.00923977495	-3.40598758726853	0.118284668065814	1.0892888258212e-183	8.99823998903773e-182
Siglece	194.05345837981	-3.37869531233498	0.402120667729722	1.79130199792274e-18	1.18456309285206e-17
Gng11	61.6396865583321	-3.36617048005468	0.687002931559706	2.59068712692801e-08	8.61112957294872e-08
Cebpb	1708.48588049705	-3.36323088531299	0.127774118802498	5.10198090250526e-154	3.25428883135747e-152
Gdf3	289.849312998382	-3.36212963207733	0.296463193407321	3.69365818809418e-31	4.02429051022845e-30
Gsr	11822.7842829062	-3.35216956301787	0.0511990949013836	0	0
Gspt2	143.207834855178	-3.32379470601128	0.439015044536142	1.55544068812836e-15	8.98322708020495e-15
Cebpd	1553.7855163274	-3.31531036971159	0.12654344209113	1.39516574795047e-152	8.67930889373139e-151
Card9	310.18464064613	-3.30124325714463	0.298007092380507	7.86669328308907e-30	8.27562994853566e-29
Naip2	386.671048793745	-3.29550180459577	0.295530435355921	3.48955864921037e-30	3.70968059775761e-29
Gpr160	1564.81068330199	-3.27723966137995	0.126178305292152	5.43061074302319e-150	3.33717652854803e-148
Trim45	290.892327883316	-3.26644440939758	0.290829742063392	1.47168875191699e-30	1.584581115579e-29
