baseMean	log2FoldChange	lfcSE	pvalue	padj
Igkv14-126	506.343591108064	-26.6835250016967	3.33796849902909	4.80887803392919e-16	2.83819981562501e-12
Ighv11-2	301.315132758895	-25.6683552893427	4.11016185709397	1.6317125706368e-10	6.4202450612656e-07
Ighg3	199.652324793157	-25.6325089854977	3.16577414059552	NA	NA
Igkv8-19	258.869226647178	-25.5221561265315	4.11029204494979	NA	NA
Igkv15-103	145.535265855306	-24.7061151332965	4.11173991590948	NA	NA
Igkv12-38	85.9440184468116	-24.0438519636291	4.11480311435688	NA	NA
Igkv6-13	72.9060713759331	-23.8262587767867	4.11652323479698	NA	NA
Ighv1-5	70.6017052905409	-23.7987539291224	4.11678059798028	NA	NA
Igkv14-100	68.050101293412	-23.7424361287402	4.11732366110033	NA	NA
Igkv8-27	59.9907559215439	-23.5767714291187	4.119172337497	NA	NA
Igkv8-34	48.1883834049212	-23.296474309894	4.12330718095677	NA	NA
Ighv9-3	43.9947785687664	-23.1710386265877	4.1256650035176	NA	NA
Igkv1-117	44.6282639257426	-23.1120812955815	4.12688143495788	NA	NA
Igkv12-44	38.6906938378729	-23.0063683519077	4.12935571606765	NA	NA
Ighv5-9	38.0796863009923	-22.9867395618747	4.12984646621493	NA	NA
Syce1	55.7474305987121	-22.8859384621597	4.13254443928957	1.19010679406967e-08	1.56089117746649e-05
Igkv1-99	32.5283475390796	-22.7852349810635	4.13559677431415	NA	NA
Igkv3-1	27.6723774565585	-22.5616847107675	4.14376413111838	NA	NA
Ighv5-6	22.9081362140815	-22.3294356110045	4.15478898357691	NA	NA
Ighv1-80	75.0136427380372	-10.0915745027964	1.71888477063164	3.41694368746283e-09	6.72226721446855e-06
Igkv14-111	36.9339842711809	-9.51676688836738	1.6335700802244	NA	NA
Ighv1-78	97.3669913266533	-8.88061450820331	2.30702370200196	NA	NA
Ctnnd2	97.874562108089	-5.30585297521705	1.79040482210007	1.3707060126067e-06	0.000951753751341735
Arpp21	858.63721117028	-1.16768899646484	0.312734555524455	9.70586361342699e-09	1.43210017616115e-05
Camkv	101.316933173809	-0.960525795030835	2.24728405593307	0.000194591094127012	0.0244177779378882
Xlr3b	405.458043460473	-0.812215255545476	0.325637926037436	5.29262546727776e-06	0.00271626743546725
Espl1	957.808184750794	-0.782982988056402	0.171869805646428	7.94403749336156e-08	7.2131860439723e-05
Sbf1	2766.73422554078	-0.780954353809627	0.176857138297302	1.36964794922108e-07	0.000115480888518611
Chpf2	594.229499516366	-0.724203679717356	0.266470773899428	8.93672127218258e-06	0.00390700214432752
