24h_1	24h_2	72h_1	72h_2	proB_1	proB_2
Ilf2	5800.9	5554.9	6479.1	6473.6	6987	7127.3
Chtop	7544.5	7416	8107	7778	8882	8724.3
Snapin	1563.5	1553.7	1413.5	1436.5	1283.4	1176.7
S100a4	1399.2	1386.9	1214.9	1199.5	527.7	747.9
S100a6	1103	906.1	1834.9	775.5	2118.9	2645.8
Scn4a	36.2	33.7	55.7	62.7	363.9	450.7
Icam2	824.5	921.1	823.2	916.6	980.7	1014.7
Mapk7	788.2	808.7	862.2	791.2	1196.3	1126.8
B9d1	77.1	52.5	72.4	57.8	169	125.5
Sec24b	3945	4220.6	4193.2	4225.3	3891.6	4040.6
N4bp3	1133.6	1181.6	906.8	1181.9	1822.4	1713.9
Rmnd5b	1432.6	1471.2	1317	1472.7	2132.4	1980.7
Nhp2	4561.4	4143.7	5500.9	4987.2	3647.9	3976
Vps9d1	625.8	659.7	607.9	591.4	644.8	626.1
Zfp276	925.7	912.7	834.4	813.7	1047	1024.5
Mfsd10	673.1	694.4	703.5	606.1	495.5	506.7
Luzp1	2050.9	1966	1928.6	1846.8	2545	2625.1
Kctd10	2274.7	2454.2	2064.1	2188.6	2384.3	2827.3
Poldip2	3894.8	3848.5	3945.4	3910	2600.9	2746.9
Ift20	1356.5	1280	1308.6	1187.8	1149.6	1108.5
Col6a1	37.1	27.2	487.3	57.8	80.9	85.3
Lgals9	6010.7	4791.2	6971	7107.2	18224.2	17445
Araf	3001.7	3221.6	2934.7	3050.3	3405.4	3269.5
Cfp	281.3	267.1	583.8	485.7	100.6	162
Uxt	780.8	714	921.6	765.8	905	872.2
Cnnm3	1707.4	1757	1475.7	1620.6	1492.8	1549.5
Lman2l	2063	2161.8	1575	1711.7	2039.1	1899.1
Mcm3ap	4551.2	4502.6	4889.3	4782.5	4107.2	4417
Pcnt	5513.1	5945.7	5816.4	5958.6	6423	6889.8
Mxd1	945.2	978.3	542	523.9	640.6	638.3
Gmcl1	1455.8	1474.9	1573.1	1537.4	1973.8	1945.4
Snrnp27	1460.4	1369.1	1619.5	1283.8	1767.5	1666.4
Oas1c	135.6	126.5	129.9	153.7	176.2	165.7
Ocrl	438.2	398.3	388.9	273.2	648.9	573.7
Calm1	19185.4	18809.8	19351	18607.2	22255.7	21955.8
Agpat3	288.7	155.6	998.6	402.5	1804.8	1727.3
Sema6b	428.9	551	405.6	472	105.7	96.2
Uhrf1	33008	30506.3	30595.9	27073.5	34860.3	34719.4
Dpp9	2787.2	2955.5	3225.2	3438	2563.6	2861.4
Gramd1a	4466.7	5105.2	3664.2	4680.7	4570.6	5079.6
Ckb	546.9	365.5	580.1	340.8	292.3	279
Sp1	6270.7	6653.2	6604.4	6590.2	9116.2	9154.3
Itgb7	866.2	1679.2	1210.2	2391.3	95.4	233.9
Myg1	1418.7	1403.7	1503.5	1525.6	1459.6	1435
Rarg	259	379.5	287.7	475.9	15.5	18.3
Pfdn5	3428.7	3100.8	3365.3	3226.5	3884.3	3680
Rrp15	1964.6	1942.5	2437.2	2187.6	1488.6	1744.4
Rnd2	112.3	107.8	56.6	88.1	18.7	15.8
Srr	347.2	358.9	274.7	357.4	588.8	594.5
Acp5	102.1	89	80.7	90.1	358.7	404.4
Cnn1	35.3	12.2	15.8	7.8	1140.3	631
Fbxo9	931.2	912.7	933.7	1044.8	761.9	754
Vps50	1477.2	1564	1571.3	1626.5	1431.6	1491
Hars	4183.6	4161.5	4699.9	4448.6	3490.4	3606.9
Zmat2	4343.3	4084.7	4524.5	4141.1	3893.6	3621.5
Ube2c	4297.8	4300.2	5208.5	5199.7	8365.7	7928.9
Smg5	6742.4	6582	6371.4	6410	6450	6436.7
Cct3	18775	17835.2	20951	20193.5	14047.6	15545.9
Glmp	2113.1	2378.3	1841.4	2017.2	1721.9	1572.6
Mef2d	9140.5	8667.9	10498.7	8651.4	13318.8	13198.5
Tmem79	134.6	125.6	102.1	118.5	105.7	116.9
Snd1	12104.1	12941.9	10407.8	11452	6966.2	7556.1
Col18a1	72.4	171.5	133.6	94	42.5	39
Slc19a1	2044.4	2239.6	2214.5	2144.5	2011.1	2371.7
Kpnb1	25753.2	25805.9	29694.7	29026.1	23814.8	27378.9
Npepps	3461.2	3524.3	3386.7	3668.2	4552.9	4516.9
Mrpl10	2314.6	2146.8	2560.6	2389.3	2068.1	2191.4
Cyp51	5213.2	5476.2	4394.6	4569	4792.4	5168.6
Tcf25	17582.9	17386.4	13334.1	12915.9	22881.8	22908.3
Tubb6	104.9	98.4	135.5	118.5	66.3	52.4
Def8	1486.4	1461.8	1491.5	1537.4	1019	1134.1
Col1a1	36.2	15.9	1049.7	101.8	218.7	300.9
Dlx3	97.5	116.2	43.6	50.9	0	0
Foxm1	3940.3	4048.1	4843.8	4682.6	7796.6	7748.6
Itfg2	850.5	898.6	932.7	900.9	1083.3	1162.1
Tulp3	887.6	868.7	902.1	884.2	1317.6	1335.1
Gtf2h4	1424.2	1465.6	1575.9	1486.5	1432.6	1353.4
Tubb5	57371.3	58324.1	69875.2	68759	74340.8	73099.4
Ell2	787.3	879.9	474.3	600.3	582.6	488.5
Jup	3926.4	3926.3	1617.7	2276.7	287.2	288.7
