	MPP3_Ebf1_KO1	MPP3_Ebf1_KO2	MPP3_Ebf1_KO3	MPP3_Ebf1_KO4	MPP3_Ebf1_WT1	MPP3_Ebf1_WT2	MPP3_Ebf1_WT3	MPP3_Ebf1_WT4
ENSMUSG00000001472.16	7757	6326	8185	9026	7706	6086	9040	8407
ENSMUSG00000001473.6	1328	1256	1597	1577	894	1056	1455	2097
ENSMUSG00000001482.14	8186	6936	8039	7136	10970	7133	8606	8661
ENSMUSG00000001493.9	0	0	8	0	0	0	0	0
ENSMUSG00000001494.6	0	0	0	0	0	0	0	0
ENSMUSG00000001496.15	0	0	0	0	0	0	0	0
ENSMUSG00000001497.18	0	0	0	0	0	0	0	0
ENSMUSG00000001504.10	0	0	10	0	0	0	0	0
ENSMUSG00000001506.10	30	1	0	0	0	0	8	0
ENSMUSG00000001507.16	21	0	30	15	68	22	12	25
ENSMUSG00000001508.15	0	0	0	0	3	0	0	0
ENSMUSG00000001510.8	0	0	0	0	0	0	0	0
ENSMUSG00000001517.14	417	325	474	502	447	266	380	512
ENSMUSG00000001518.12	1579	1134	1390	1715	1359	1107	1597	1747
ENSMUSG00000001520.12	28	17	7	54	47	33	15	9
ENSMUSG00000001521.12	63	32	30	43	63	64	77	38
ENSMUSG00000001524.14	1758	1040	1704	2024	1815	987	1677	1695
ENSMUSG00000001525.10	91462	66928	82344	95459	67416	52454	97502	104472
ENSMUSG00000001542.6	678	228	318	245	66	231	499	400
ENSMUSG00000001552.14	671	643	937	829	643	434	711	644
ENSMUSG00000001555.10	25	5	20	43	10	51	0	0
ENSMUSG00000001558.5	44	0	32	3	12	4	4	28
ENSMUSG00000001566.9	0	0	0	0	0	0	0	0
ENSMUSG00000001569.10	3139	2948	3492	3778	2753	2365	3927	3632
ENSMUSG00000001576.14	9130	7618	8396	8301	6965	6133	8504	10526
ENSMUSG00000001583.13	54	34	86	79	49	20	74	57
ENSMUSG00000001588.12	9258	7200	9949	9804	10624	8307	12006	10280
ENSMUSG00000001604.14	0	0	1	5	0	0	5	0
ENSMUSG00000001622.15	0	0	0	0	0	0	0	0
ENSMUSG00000001627.11	1793	1228	2041	1711	1141	1249	2397	2127
ENSMUSG00000001630.13	489	468	534	704	591	433	723	477
ENSMUSG00000001632.16	1205	837	1022	1078	868	962	1218	1240
ENSMUSG00000001642.18	7942	6860	8274	8302	6644	5214	8089	8152
ENSMUSG00000001655.6	0	0	0	0	0	0	0	0
ENSMUSG00000001656.3	0	0	0	0	0	0	0	0
ENSMUSG00000001657.7	0	0	0	0	0	0	0	0
ENSMUSG00000001661.5	0	0	0	12	0	0	0	7
ENSMUSG00000001663.10	348	262	266	278	280	169	180	261
ENSMUSG00000001665.10	828	631	501	820	841	403	842	807
ENSMUSG00000001666.8	803	588	756	669	718	470	757	706
ENSMUSG00000001670.13	0	0	0	0	0	0	0	0
ENSMUSG00000001672.14	0	0	0	0	0	0	0	0
ENSMUSG00000001674.11	4469	3239	4830	5116	4355	3300	4414	5157
ENSMUSG00000001687.15	2405	1879	2305	1971	1251	1063	2108	2449
ENSMUSG00000001700.9	890	582	516	653	469	554	1048	725
ENSMUSG00000001707.7	2465	2005	2367	3054	2177	1890	2749	2867
ENSMUSG00000001729.14	1935	1646	2080	2391	1600	1288	2300	2396
ENSMUSG00000001739.14	153	413	738	873	442	189	119	386
ENSMUSG00000001741.12	4585	3902	4651	4669	4407	2694	5033	5029
ENSMUSG00000001750.15	3354	2537	4421	5048	4694	3532	4099	3956
ENSMUSG00000001751.9	1199	1386	1647	1043	1682	984	1387	1712
ENSMUSG00000001755.12	2132	1957	2425	3010	2368	1449	2582	2760
ENSMUSG00000001761.7	1051	796	894	792	752	539	999	1009
ENSMUSG00000001763.14	16	10	37	27	31	13	71	24
ENSMUSG00000001767.5	3049	2234	2903	3396	2338	1933	3449	2937
ENSMUSG00000001768.15	138	160	130	191	193	121	114	124
ENSMUSG00000001773.14	0	0	0	0	0	0	0	0
ENSMUSG00000001774.7	4144	3177	4382	5979	4026	3906	4386	3997
ENSMUSG00000001783.3	14516	12176	14886	14869	12635	8801	15918	15847
ENSMUSG00000001785.11	4624	3614	4695	4923	4380	3241	4626	4073
ENSMUSG00000001786.14	3312	2642	3993	3325	3351	2540	3822	3714
ENSMUSG00000001794.13	6325	5056	5226	4066	1172	3000	5130	6620
ENSMUSG00000001802.16	0	0	0	0	0	0	0	0
ENSMUSG00000001804.9	0	0	0	0	0	0	0	0
ENSMUSG00000001815.15	0	0	0	0	0	0	0	0
ENSMUSG00000001819.4	0	0	0	0	0	0	0	0
ENSMUSG00000001823.5	0	0	0	0	0	0	0	0
ENSMUSG00000001827.11	0	0	7	4	8	0	24	1
ENSMUSG00000001829.16	2286	1933	2752	2707	2456	1529	2824	2550
ENSMUSG00000001833.16	14429	9591	12070	12846	10339	7966	13580	13296
ENSMUSG00000001844.10	2872	2125	2736	2773	2363	1449	2682	2979
ENSMUSG00000001847.14	13646	11110	14084	13461	7329	8148	14715	14890
ENSMUSG00000001855.15	1849	1484	1577	2102	2564	1422	2469	2020
ENSMUSG00000001864.13	209	110	181	190	306	182	262	303
ENSMUSG00000001865.2	4567	5322	10786	10191	3840	4259	10282	10352
ENSMUSG00000001870.15	0	5	0	0	0	0	0	0
ENSMUSG00000001891.16	2717	1373	1813	1977	1526	1532	2430	2197
ENSMUSG00000001901.15	16	3	10	2	28	1	5	8
ENSMUSG00000001909.15	2406	2018	2956	3212	2179	2033	2867	2498
ENSMUSG00000001910.4	1065	1004	1131	985	1666	998	1431	1414
ENSMUSG00000001911.16	1745	1734	1915	1993	1286	1116	2183	2073
ENSMUSG00000001918.17	9954	8712	11927	12136	9630	9118	11257	12654
ENSMUSG00000001924.15	11869	10055	11631	12992	12353	9062	14653	15398
ENSMUSG00000001930.17	84	49	37	87	121	97	66	74
ENSMUSG00000001942.7	3004	1973	2489	3147	2620	1959	3133	2782
ENSMUSG00000001943.7	51	56	38	4	37	16	40	13
ENSMUSG00000001946.13	1965	1346	1515	1842	2437	1245	1619	1605
ENSMUSG00000001948.9	174	120	138	126	116	85	167	159
ENSMUSG00000001962.8	1574	1649	2032	2063	1964	1502	2114	2192
ENSMUSG00000001964.14	5114	4109	5333	5321	4311	3663	4759	5600
ENSMUSG00000001983.7	382	293	528	524	428	189	481	408
ENSMUSG00000001985.9	0	0	0	0	0	0	0	0
ENSMUSG00000001986.16	1246	1194	1920	2003	1346	1043	1696	1476
ENSMUSG00000001988.8	81	47	24	12	26	23	47	26
ENSMUSG00000001995.8	0	29	17	23	53	46	42	29
ENSMUSG00000001998.15	673	495	632	854	503	689	884	808
ENSMUSG00000001999.15	2418	2023	2545	2603	2251	1630	2795	2340
ENSMUSG00000002006.12	33	0	8	4	2	5	2	1
ENSMUSG00000002007.5	19	21	30	4	4	8	0	27
ENSMUSG00000002010.17	14822	13172	16429	16470	13237	8446	16806	16425
ENSMUSG00000002012.13	854	663	520	589	522	400	931	664
ENSMUSG00000002014.12	6079	4890	6563	6701	4844	3330	5653	5255
ENSMUSG00000002015.5	14768	12394	14406	15469	11543	9093	14629	15119
ENSMUSG00000002017.9	1645	1347	2067	1714	1933	1262	1807	1931
ENSMUSG00000002020.15	0	0	1	0	0	0	0	0
ENSMUSG00000002028.12	2393	1522	2029	2822	2515	1587	3184	2645
ENSMUSG00000002031.11	1147	1102	1206	1243	1084	776	1282	1377
ENSMUSG00000002032.16	15	37	29	32	12	5	41	36
ENSMUSG00000002033.13	12	13	6	104	10	17	10	23
ENSMUSG00000002043.17	4045	4105	4919	4987	4123	2563	4939	4365
ENSMUSG00000002052.6	1863	1575	1796	1934	2429	1521	1920	1862
ENSMUSG00000002055.9	1728	1048	2013	2396	1972	1546	2580	2186
ENSMUSG00000002057.4	0	0	9	0	1	0	1	0
ENSMUSG00000002058.13	919	671	656	353	208	167	366	795
ENSMUSG00000002059.18	135	153	63	106	139	71	93	104
ENSMUSG00000002064.10	2354	2365	2728	3141	2800	1707	2617	2468
ENSMUSG00000002068.16	700	564	625	799	514	520	838	714
ENSMUSG00000002076.11	14	24	28	36	26	2	17	76
ENSMUSG00000002083.12	671	596	525	558	166	386	571	733
ENSMUSG00000002100.15	69	17	0	4	39	10	40	6
ENSMUSG00000002102.15	14513	12706	15338	17031	13007	9009	14966	15881
ENSMUSG00000002103.15	1447	1066	1510	1505	1216	868	1844	1832
ENSMUSG00000002104.11	186	317	320	294	327	127	414	482
ENSMUSG00000002105.15	692	490	556	503	636	469	540	587
ENSMUSG00000002107.18	15021	10572	14376	15653	12490	9514	16578	14846
ENSMUSG00000002108.10	80	91	138	63	67	69	54	36
ENSMUSG00000002109.14	556	498	767	729	723	515	618	846
ENSMUSG00000002111.8	10377	10432	14432	13254	8754	7232	12318	11680
ENSMUSG00000002129.11	6045	4915	6498	6797	6552	4525	7017	7446
ENSMUSG00000002147.18	3071	2765	3646	3483	4452	3194	4153	4135
ENSMUSG00000002190.13	0	0	0	0	0	16	0	0
ENSMUSG00000002204.9	9591	8327	9956	9890	7639	5510	9458	9346
ENSMUSG00000002205.16	4529	3719	5442	6143	4944	3471	5432	5201
ENSMUSG00000002210.11	1973	1735	2401	2246	2475	1640	2490	2962
ENSMUSG00000002221.11	1704	1543	2029	2048	1171	1023	1937	2172
ENSMUSG00000002222.14	1278	830	1097	1374	1066	729	1243	1206
ENSMUSG00000002227.15	1371	1167	1716	1506	1994	1361	1295	1544
ENSMUSG00000002228.7	7	13	24	1	32	15	13	29
ENSMUSG00000002233.13	17	14	7	15	18	7	23	10
ENSMUSG00000002240.12	0	0	0	0	0	0	0	0
ENSMUSG00000002249.17	27	24	21	29	72	17	33	28
ENSMUSG00000002250.15	77	60	51	185	134	98	81	88
ENSMUSG00000002257.7	8351	7804	10088	10326	10496	6894	10463	10596
ENSMUSG00000002265.16	0	0	0	12	0	0	0	0
ENSMUSG00000002266.16	0	0	0	0	0	0	0	0
ENSMUSG00000002274.12	258	210	188	118	103	122	191	295
ENSMUSG00000002279.18	1161	852	1470	1536	1027	768	942	1309
ENSMUSG00000002280.10	1446	1090	2017	2238	1761	1218	1744	1770
ENSMUSG00000002289.15	1808	1458	1518	1627	1303	826	1364	1835
ENSMUSG00000002297.15	1538	1102	1490	1214	625	828	1575	1713
ENSMUSG00000002307.15	3043	2619	4161	3561	3385	2432	3735	3927
ENSMUSG00000002308.15	1946	1651	2152	2198	1494	1012	2121	1602
ENSMUSG00000002319.15	2030	1964	2040	2176	2359	1887	2172	2654
