	MPP3_Ebf1_KO1	MPP3_Ebf1_KO2	MPP3_Ebf1_KO3	MPP3_Ebf1_KO4	MPP3_Ebf1_WT1	MPP3_Ebf1_WT2	MPP3_Ebf1_WT3	MPP3_Ebf1_WT4
ENSMUSG00000000001.4	8744	6472	8533	9060	6669	5587	9892	9021
ENSMUSG00000000003.15	0	0	0	0	0	0	0	0
ENSMUSG00000000028.14	2220	2277	2729	3039	2613	1681	2525	2989
ENSMUSG00000000031.15	0	0	2	0	0	0	0	0
ENSMUSG00000000037.16	210	160	184	193	202	123	121	201
ENSMUSG00000000049.11	0	0	0	0	1	1	0	1
ENSMUSG00000000056.7	1470	1147	1835	2063	1442	1351	2302	1926
ENSMUSG00000000058.6	687	393	354	233	273	207	687	597
ENSMUSG00000000078.6	3084	1724	13754	2174	1463	1589	15151	7782
ENSMUSG00000000085.16	1255	896	1054	1138	966	709	1219	1295
ENSMUSG00000000088.6	7978	6994	8212	8335	6606	4578	8680	8245
ENSMUSG00000000093.6	0	0	0	0	0	0	0	0
ENSMUSG00000000094.12	0	0	1	0	0	0	0	0
ENSMUSG00000000103.12	0	0	0	0	0	0	0	0
ENSMUSG00000000120.6	0	0	0	1	0	0	0	0
ENSMUSG00000000125.5	0	0	8	0	0	0	5	0
ENSMUSG00000000126.11	0	0	0	11	0	0	0	0
ENSMUSG00000000127.14	450	360	313	351	402	201	471	365
ENSMUSG00000000131.15	3096	2192	3302	3004	1364	1554	3129	3283
ENSMUSG00000000134.17	717	546	755	970	915	726	1079	819
ENSMUSG00000000142.15	3	11	8	17	10	40	14	0
ENSMUSG00000000148.17	1626	1417	1713	1754	2418	1576	1851	1628
ENSMUSG00000000149.10	548	454	628	762	408	351	642	670
ENSMUSG00000000154.16	453	391	370	369	436	288	499	323
ENSMUSG00000000157.15	0	16	0	0	0	0	4	0
ENSMUSG00000000159.15	0	0	7	0	0	4	0	5
ENSMUSG00000000167.14	42	29	90	52	41	9	99	51
ENSMUSG00000000168.9	3885	2936	3942	4381	3827	2855	4054	4638
ENSMUSG00000000171.4	12042	10229	12129	13060	10528	7714	13443	12399
ENSMUSG00000000182.9	0	0	0	0	0	0	0	0
ENSMUSG00000000183.6	0	0	0	0	0	0	0	0
ENSMUSG00000000184.12	18882	18435	19114	20243	14298	12289	21945	22682
ENSMUSG00000000194.13	734	508	962	946	907	925	983	876
ENSMUSG00000000197.7	0	0	0	0	0	0	0	0
ENSMUSG00000000202.9	0	0	0	0	0	0	0	0
ENSMUSG00000000204.15	0	5	0	0	0	0	0	0
ENSMUSG00000000214.11	0	0	0	0	0	0	0	0
ENSMUSG00000000215.10	0	0	0	0	0	0	0	0
ENSMUSG00000000216.8	0	0	0	0	0	0	0	0
ENSMUSG00000000223.13	11	0	22	0	0	0	27	10
ENSMUSG00000000244.17	14411	11581	15416	15517	13991	10099	16608	14540
ENSMUSG00000000247.11	0	0	0	0	13	0	0	0
ENSMUSG00000000248.16	2	0	0	0	0	0	0	0
ENSMUSG00000000253.12	2718	2251	2921	3344	2800	1841	3537	3355
ENSMUSG00000000263.15	0	0	0	0	0	0	0	0
ENSMUSG00000000266.11	0	4	38	0	0	6	17	3
ENSMUSG00000000275.16	2135	1914	2224	2552	2730	1716	2085	2495
ENSMUSG00000000276.11	492	394	490	393	422	245	750	613
ENSMUSG00000000278.10	1517	1400	1300	1324	1116	548	1327	1149
ENSMUSG00000000282.12	296	318	373	283	544	311	409	486
ENSMUSG00000000290.13	1752	1895	1595	2188	1046	1036	1695	1700
ENSMUSG00000000295.12	2929	2240	2455	2322	2099	1486	3026	2876
ENSMUSG00000000296.7	52	37	22	0	20	9	45	60
ENSMUSG00000000301.16	232	234	308	337	307	256	326	268
ENSMUSG00000000303.12	47	15	65	84	67	15	36	25
ENSMUSG00000000305.12	0	0	0	0	0	0	2	0
ENSMUSG00000000308.14	0	0	0	0	0	0	0	0
ENSMUSG00000000317.11	37	0	31	19	42	58	5	19
ENSMUSG00000000318.16	830	687	475	567	775	402	616	495
ENSMUSG00000000320.10	4	7	7	21	3	0	22	0
ENSMUSG00000000325.15	389	350	283	285	609	474	385	352
ENSMUSG00000000326.12	4599	4026	5599	5537	4859	3049	5134	5172
ENSMUSG00000000339.14	1877	1668	1903	1972	1539	1229	2349	1885
ENSMUSG00000000340.10	901	756	1117	906	727	537	1123	841
ENSMUSG00000000346.8	34841	26868	34251	34120	26903	19222	39554	36726
ENSMUSG00000000355.13	2834	1652	2236	2286	1776	1472	2750	2427
ENSMUSG00000000359.3	0	0	8	24	3	0	19	0
ENSMUSG00000000365.8	134	42	54	169	71	34	132	142
ENSMUSG00000000374.7	279	426	423	388	467	186	519	511
ENSMUSG00000000378.15	4892	4152	4681	4741	3649	2515	5023	4512
ENSMUSG00000000381.10	0	0	0	0	0	0	0	0
ENSMUSG00000000384.15	2918	3107	3546	3717	2920	2333	3412	3774
ENSMUSG00000000385.7	0	0	0	0	0	0	0	0
ENSMUSG00000000386.14	55	84	150	54	33	33	33	54
ENSMUSG00000000392.17	0	0	25	0	0	0	0	12
ENSMUSG00000000394.15	0	0	0	0	0	0	0	0
ENSMUSG00000000399.10	9042	6266	8444	9313	7078	5076	10035	9110
ENSMUSG00000000402.2	0	0	0	0	0	0	0	0
ENSMUSG00000000409.14	1553	1439	1288	1606	1436	1078	2176	1672
ENSMUSG00000000411.7	0	0	0	0	0	0	0	0
ENSMUSG00000000416.16	0	0	0	0	17	0	0	0
ENSMUSG00000000420.15	3297	2473	2513	2360	1486	1609	2745	3020
ENSMUSG00000000435.1	0	0	0	0	0	0	0	0
ENSMUSG00000000439.9	2089	1427	1860	1748	1666	1181	2037	2015
ENSMUSG00000000440.12	26	49	41	63	37	26	22	47
ENSMUSG00000000441.17	2386	1908	2677	3333	2614	1939	3107	3168
ENSMUSG00000000486.13	9442	8037	8507	7503	7289	5546	10318	9107
ENSMUSG00000000489.6	0	14	2	12	48	43	52	8
ENSMUSG00000000530.16	25	31	48	38	16	6	25	38
ENSMUSG00000000531.4	338	415	413	286	133	199	369	537
ENSMUSG00000000532.10	2325	1883	1949	2019	3305	2217	2550	2134
ENSMUSG00000000538.18	458	360	439	273	785	399	577	524
ENSMUSG00000000544.14	0	0	0	14	0	0	0	0
ENSMUSG00000000552.9	1290	1045	1240	1168	1647	1130	1273	1436
ENSMUSG00000000555.6	1278	1021	1069	1530	1084	976	1575	1312
ENSMUSG00000000560.9	0	0	0	0	0	0	0	0
ENSMUSG00000000561.14	4065	2801	3306	4014	2899	2537	3956	3818
ENSMUSG00000000562.5	8	22	16	19	17	9	0	22
ENSMUSG00000000563.17	15022	11839	13711	14284	11949	8422	14911	14753
ENSMUSG00000000567.5	0	1	0	0	0	0	0	0
ENSMUSG00000000568.15	1894	1319	1163	1211	1115	926	1916	1689
ENSMUSG00000000579.14	288	191	282	296	235	234	246	203
ENSMUSG00000000581.8	6298	4272	5346	5037	4365	3821	6933	5280
ENSMUSG00000000594.7	25077	21211	22690	22969	17560	12418	24338	23956
ENSMUSG00000000600.15	3163	1873	2696	3393	3078	2804	4416	3132
ENSMUSG00000000605.8	3031	2682	3593	4228	3003	2355	3752	3339
ENSMUSG00000000606.15	0	0	0	0	0	0	0	0
ENSMUSG00000000617.14	9	2	21	31	15	3	41	8
ENSMUSG00000000627.15	16	2	1	17	7	0	7	14
ENSMUSG00000000628.10	1148	992	1675	2127	1387	1005	1483	1540
ENSMUSG00000000631.20	1928	1169	1345	1756	2292	1372	1531	1881
ENSMUSG00000000632.13	0	0	0	0	0	0	0	0
ENSMUSG00000000673.8	1581	1462	1613	1561	1211	957	1699	1729
ENSMUSG00000000682.7	3711	2985	4316	4347	2985	2109	6428	4113
ENSMUSG00000000686.11	1713	1328	1209	1577	1194	856	1829	1524
ENSMUSG00000000690.5	44	35	23	6	13	15	31	24
ENSMUSG00000000693.10	146	183	170	156	127	126	238	102
ENSMUSG00000000701.7	0	0	0	0	0	0	0	0
ENSMUSG00000000706.15	0	0	0	0	0	0	0	0
ENSMUSG00000000708.14	401	206	412	344	253	166	469	523
ENSMUSG00000000711.2	2528	2057	2628	2781	2392	2189	2888	2758
ENSMUSG00000000724.10	0	0	2	0	0	0	0	1
ENSMUSG00000000730.13	0	18	7	20	1	0	26	25
ENSMUSG00000000731.15	93	26	124	61	142	44	165	37
ENSMUSG00000000732.8	361	203	278	354	291	173	250	210
ENSMUSG00000000738.17	1442	1227	1329	982	463	743	1310	1522
ENSMUSG00000000739.13	0	0	1	0	0	0	0	0
ENSMUSG00000000740.11	74012	66852	80046	81809	63174	44680	75638	76827
ENSMUSG00000000743.8	4881	4605	6112	6001	5345	3850	6336	5877
ENSMUSG00000000751.13	13750	10992	14183	15258	12997	9032	15586	15558
ENSMUSG00000000753.15	8160	6898	7948	6029	4151	3567	7297	6150
ENSMUSG00000000759.14	2563	1890	2316	2812	2776	2065	2457	3115
ENSMUSG00000000766.18	0	0	10	7	4	4	3	5
ENSMUSG00000000776.12	1244	1046	1427	1227	1258	1151	1222	1236
ENSMUSG00000000782.15	651	333	443	738	179	345	345	370
ENSMUSG00000000787.12	4838	2938	3118	3844	2582	2400	4993	4188
ENSMUSG00000000791.8	780	615	559	344	616	321	596	627
ENSMUSG00000000792.2	0	0	0	0	0	0	0	0
ENSMUSG00000000794.9	0	0	0	0	0	0	1	0
ENSMUSG00000000804.14	244	174	310	404	193	172	339	364
ENSMUSG00000000805.18	0	0	0	0	0	0	0	0
ENSMUSG00000000811.13	1216	936	1011	940	887	569	1327	1397
ENSMUSG00000000817.10	7	6	0	1	5	0	0	0
ENSMUSG00000000823.16	2035	1559	1713	1849	1481	1337	2544	2094
ENSMUSG00000000826.16	3640	2931	3445	3888	3729	2932	4066	4085
ENSMUSG00000000827.18	6270	5066	6243	7064	5561	3982	7254	6145
ENSMUSG00000000838.17	1999	1191	1546	1227	895	849	1485	1823
ENSMUSG00000000861.15	4734	3284	3791	4437	4351	3550	5197	4720
ENSMUSG00000000869.12	61	36	27	34	4	7	56	41
ENSMUSG00000000876.11	1443	1381	1634	1695	1446	1041	1800	1594
ENSMUSG00000000881.12	66	26	70	53	24	44	103	62
ENSMUSG00000000884.16	736	483	872	772	746	508	1141	973
ENSMUSG00000000889.8	0	0	0	0	0	0	0	0
ENSMUSG00000000901.15	318	191	164	97	220	77	181	86
ENSMUSG00000000902.13	7258	6005	8001	8166	7414	5961	8318	8107
ENSMUSG00000000903.3	7	8	53	10	85	20	107	73
ENSMUSG00000000915.15	1824	1448	1547	1347	1941	1483	1754	2030
ENSMUSG00000000916.15	1894	1672	2329	2465	2146	1463	2251	2364
ENSMUSG00000000934.8	1149	1145	1370	1256	1225	992	1266	1249
ENSMUSG00000000938.11	850	588	669	620	784	671	715	790
ENSMUSG00000000942.10	11	2	0	13	5	10	19	5
ENSMUSG00000000948.16	0	0	0	0	0	0	0	0
ENSMUSG00000000957.9	179	91	29	35	31	30	77	101
ENSMUSG00000000958.9	354	203	249	325	280	150	73	314
ENSMUSG00000000959.6	2486	2114	2607	2924	2311	1813	2900	2832
ENSMUSG00000000976.13	2130	2008	2898	3493	2313	1634	2593	2804
ENSMUSG00000000982.5	1161	456	2767	755	310	521	2331	1694
ENSMUSG00000000983.13	23	39	48	25	17	15	27	15
ENSMUSG00000001014.5	568	576	654	820	714	396	774	886
ENSMUSG00000001016.12	6708	6255	7247	8982	6973	5494	8766	7702
ENSMUSG00000001017.15	6646	5989	7409	7113	6473	5157	7736	6782
ENSMUSG00000001018.15	4433	2955	3763	3853	3278	2760	4498	4555
ENSMUSG00000001020.8	63	53	48	42	38	21	79	27
ENSMUSG00000001021.12	4	0	3	4	3	3	0	0
ENSMUSG00000001023.10	42	21	17	31	30	14	36	36
ENSMUSG00000001025.8	1089	1107	829	834	787	396	882	759
ENSMUSG00000001027.7	0	0	0	0	0	3	0	4
ENSMUSG00000001029.15	3473	2673	3890	4018	2896	2172	3376	2888
ENSMUSG00000001034.17	573	780	931	634	913	674	928	697
ENSMUSG00000001036.17	0	14	0	0	0	0	0	0
ENSMUSG00000001039.12	73	34	98	16	48	37	46	61
ENSMUSG00000001052.15	1578	1321	1701	1946	1833	1221	2114	2117
ENSMUSG00000001053.15	370	349	584	440	642	574	581	362
ENSMUSG00000001054.9	2477	1865	2942	2727	2623	1809	2848	2498
ENSMUSG00000001056.3	8703	8010	9559	9514	7308	5401	9492	9216
ENSMUSG00000001062.17	566	346	474	397	485	325	450	600
ENSMUSG00000001065.14	480	326	434	544	674	493	381	424
ENSMUSG00000001076.6	5	0	0	0	0	0	0	1
ENSMUSG00000001082.12	6257	6079	7605	7772	7661	5093	8139	8413
ENSMUSG00000001089.14	856	650	879	1180	944	640	1051	1073
ENSMUSG00000001095.5	27	32	131	40	30	35	70	13
ENSMUSG00000001098.15	3338	2958	3479	3575	3906	2034	3812	3966
ENSMUSG00000001100.10	5284	5152	5584	5817	4823	3733	5425	5995
ENSMUSG00000001103.7	0	0	4	0	0	11	0	0
ENSMUSG00000001105.15	2578	2171	3295	3088	2688	2044	3049	2971
ENSMUSG00000001119.7	1	0	0	0	0	0	0	0
ENSMUSG00000001120.15	1009	861	1177	1196	989	901	1502	1330
ENSMUSG00000001123.15	28273	24365	30475	29238	23285	15259	33519	31992
ENSMUSG00000001127.12	3806	2864	4413	4711	4128	2653	4196	3809
ENSMUSG00000001128.7	2132	1993	2622	2289	1580	1335	2181	2023
ENSMUSG00000001131.11	0	0	0	0	0	0	0	0
ENSMUSG00000001134.9	771	573	755	719	612	518	898	916
ENSMUSG00000001138.13	462	288	428	505	378	292	504	647
ENSMUSG00000001143.13	1383	1235	1900	2123	1845	1566	1580	1378
ENSMUSG00000001150.6	2012	1248	1983	1650	2517	1580	1861	1872
ENSMUSG00000001151.9	4811	3208	4514	4346	4889	3220	4693	5598
ENSMUSG00000001155.13	0	0	0	0	0	0	0	0
ENSMUSG00000001156.9	1152	1043	1234	1294	946	914	1587	1311
ENSMUSG00000001157.13	2243	1594	2313	2097	609	1478	2139	2389
ENSMUSG00000001158.13	2398	1846	2560	2533	2048	1613	2519	2140
ENSMUSG00000001166.17	308	254	399	274	207	196	393	287
ENSMUSG00000001168.16	0	0	0	0	0	0	0	0
ENSMUSG00000001173.15	1679	824	1697	1543	1157	1076	1785	1492
ENSMUSG00000001175.13	19810	18085	21456	24855	19321	14817	22530	22053
ENSMUSG00000001211.14	180	155	103	123	174	143	220	213
ENSMUSG00000001225.12	0	0	0	0	0	1	0	0
ENSMUSG00000001227.11	51	30	32	50	62	47	116	66
ENSMUSG00000001228.14	8805	6885	8625	8790	9986	6793	9718	10392
ENSMUSG00000001229.7	1372	1261	1524	1750	1869	1287	1229	1639
ENSMUSG00000001240.13	24	16	23	3	6	31	5	14
ENSMUSG00000001247.16	73	113	17	33	38	25	37	34
ENSMUSG00000001248.14	3709	2993	4947	3505	3628	3739	4907	4339
ENSMUSG00000001249.14	74	104	107	123	121	101	80	82
ENSMUSG00000001260.10	0	0	0	0	0	0	0	0
ENSMUSG00000001270.8	160	122	204	219	151	193	88	138
ENSMUSG00000001280.12	1607	918	1440	1506	1521	1389	1827	1429
ENSMUSG00000001281.9	2181	2130	1943	2048	1336	1285	2017	1771
ENSMUSG00000001285.12	3078	2411	3067	3341	2667	1928	2891	3032
ENSMUSG00000001288.14	320	174	169	191	345	158	220	226
ENSMUSG00000001289.12	7026	6046	7042	6714	5537	3737	6984	6363
ENSMUSG00000001300.16	0	0	23	0	0	0	9	61
ENSMUSG00000001305.5	3587	3288	3960	4388	2913	2378	3906	4216
ENSMUSG00000001313.12	89	127	152	146	66	63	73	138
ENSMUSG00000001323.17	471	348	396	463	284	410	428	266
ENSMUSG00000001333.9	9	2	6	10	4	2	0	11
ENSMUSG00000001334.9	23	0	0	0	6	0	0	0
ENSMUSG00000001348.14	326	383	261	335	286	168	293	384
ENSMUSG00000001349.4	0	0	4	0	0	0	0	0
ENSMUSG00000001366.14	3057	3164	3643	3865	2982	2431	3593	3817
ENSMUSG00000001376.17	1354	1037	1214	1239	1152	876	1224	1411
ENSMUSG00000001380.6	3606	3428	4348	4911	3937	2711	4807	4472
ENSMUSG00000001383.8	3315	2377	3180	3354	2880	2022	3590	3250
ENSMUSG00000001403.13	4064	3676	4137	5194	4665	3081	4467	4814
ENSMUSG00000001415.10	1694	1278	1386	2092	2424	2045	2018	1754
ENSMUSG00000001416.13	17480	14544	17967	18951	14251	11317	18020	20005
ENSMUSG00000001418.13	4321	4013	5734	5966	5162	3278	5322	5076
ENSMUSG00000001419.17	986	926	1133	1016	1037	834	1247	1158
ENSMUSG00000001420.13	150	131	190	165	133	61	136	135
ENSMUSG00000001424.14	10090	8294	11003	9588	9632	6436	9659	10130
ENSMUSG00000001435.14	6	33	14	15	17	5	21	15
ENSMUSG00000001436.15	3849	3646	4099	4138	3257	2962	4203	4520
ENSMUSG00000001440.5	8139	6423	7217	8810	7109	5547	7410	8724
ENSMUSG00000001441.13	1533	1044	1608	2087	1235	1454	1932	1490
ENSMUSG00000001444.2	11	10	8	40	0	11	0	0
ENSMUSG00000001445.10	3116	2392	3030	3582	3104	1887	3467	3549
ENSMUSG00000001467.5	1404	1503	1707	1795	1290	1204	1984	1811
